Nome,Site,Concelho,Distrito
Coração Azul – Associação Juvenil de Apoio aos Animais,http://acoracaoazul.blogspot.pt/,Vizela,Braga
Associação Amicus Canis – AMICA,http://www.facebook.com/pages/Associa%C3%A7%C3%A3o-Amicus-Canis-AMICA/248535658531716?id=248535658531716&sk=info,Bragança,Bragança
ABPA– Associação Brigantina de Protecção aos Animais,http://www.facebook.com/pages/Abpa-Associa%C3%A7%C3%A3o-Brigantina/169861529746729?sk=info,Bragança,Bragança
AMPA– Associação Mirandelense de Protecção Animal,http://ampacom.no.sapo.pt/,Mirandela,Bragança
APAAE– Associação de Protecção e Apoio ao Animal Errante,http://www.apaae.pt/,Castelo Branco,Castelo Branco
Instinto – Associação Protetora de Animais da Covilhã,http://associacaoinstinto.wordpress.com/,Covilhã,Castelo Branco
Associação Agir Pelos Animais,http://agirpelosanimais.blogspot.pt/,Coimbra,Coimbra
Grupo Gatos Urbanos,http://www.facebook.com/GrupoGatosUrbanos/info,Coimbra,Coimbra
Associação Gadaff,https://www.facebook.com/pg/AssociacaoGadaff/,Figueira da Foz,Coimbra
APAFF– Associação de Protecção Animal da Figueira da Foz,http://www.facebook.com/pages/APAFF-Associa%C3%A7%C3%A3o-de-Protec%C3%A7%C3%A3o-de-Animais-da-Figueira-da-Foz/196314673397,Figueira da Foz,Coimbra
Louzanimales – Associação Pelos Animais da Lousã,http://louzanimales.blogspot.com/,Lousã,Coimbra
Abrigo de Carinho – Associação Amigos dos Animais,http://amigosanimaismira.org,Mira,Coimbra
Associação Centro do Cedro para Animais,http://www.thecedarcentre.com/,Miranda do Corvo,Coimbra
Associação de Defesa dos Animais de Soure – Sourepatas,http://www.facebook.com/sourepatas.soure/info,Soure,Coimbra
O Refúgio – Associação dos Amigos dos Animais de Borba,http://orefugio.no.sapo.pt/inicio.htm,Borba,Évora
Cantinho dos Animais,http://cantinhodosanimais.blogspot.com/,Évora,Évora
Patolas e Patinhas – Associação dos Amigos do Canil e Gatil de Montemor-o-Novo,http://www.facebook.com/Patolas.Patinhas/info,Montemor-o-Novo,Évora
Associação EntrePatas,http://www.facebook.com/associacaoentrepatas/info,Vendas Novas,Évora
Amigos dos Gatos do Algarve,https://www.agacatcharity.com/,Albufeira,Faro
Pata Ativa – Associação,https://www.facebook.com/PataAtivaAssociacao/about,Albufeira,Faro
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo de Albufeira,http://www.facebook.com/PraviAlbufeira/info,Albufeira,Faro
AEZA– Associação Ecológica e Zoófila de Aljezur,http://www.aeza.org/,Aljezur,Faro
Associação Animais de Rua – Esterilização e Protecção de Animais em Risco (Núcleo de Faro),http://www.animaisderua.org/,Faro,Faro
MAF – Movimento Pró-Animal de Faro,http://www.facebook.com/movimentoproanimalfaro/info,Faro,Faro
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo de Faro,http://www.pravi.org/index_nucleos.php?nucleo=Faro,Faro,Faro
Refúgio dos Burros – Associação de Protecção aos Animais,http://www.refugiodosburros.org/,Lagoa,Faro
Cadela Carlota & Companhia – Associação de Protecção de Animais,http://cadelacarlotacompanhia.webnode.com.pt/,Lagos,Faro
Sociedade Protectora de Animais de Lagos (LAPS – Lagos Animal Protection Society),http://algarvedailynews.com/features/clubs-associations/1543-lagos-animal-protection-society,Lagos,Faro
Animal Aid – Associação Protectora dos Animais (SOS Algarve Animals),http://sosalgarveanimals.com/,Loulé,Faro
Associação dos Amigos dos Animais Abandonados de Loulé – Canil de São Francisco de Assis,http://www.facebook.com/canil.saofranciscodeassis?sk=info,Loulé,Faro
Canigoldra – Associação Para Defesa e Recuperação de Animais,http://thegoldradogsanctuary.com/,Loulé,Faro
ADAPO – Associação de Defesa dos Animais e Plantas de Olhão,http://www.facebook.com/adapo.pt/info,Olhão,Faro
Liga Olhanense dos Amigos dos Animais Abandonados,http://www.facebook.com/LigaDosAmigosDosAnimaisAvandonados/info,Olhão,Faro
ADAP – Associação de Defesa dos Animais de Portimão,http://animaisdeportimao.blogspot.com/,Portimão,Faro
Associação de Protecção Animal do Algarve,http://www.apaaportugal.com/,Portimão,Faro
S.O.S. Animais Sem Futuro – Associação Protectora de Animais (Spikinet),http://www.spikinet.de/,Portimão,Faro
ADAP– Associação de Defesa dos Animais de Portimão,http://animaisdeportimao.blogspot.com/,São Brás de Alportel,Faro
Coração 100 Dono – Associação de Defesa e Protecção dos Animais Abandonados,http://www.facebook.com/pages/Cora%C3%A7%C3%A3o100dono/443991798962580?sk=info,São Brás de Alportel,Faro
3AT – Associação Amigos dos Animais de Tavira,http://amigosdosanimaistavira.weebly.com/,Tavira,Faro
ASLT-ADOTA – Associação dos Animais Santa Luzia Tavira,http://www.facebook.com/Adota-Associação-dos-Animais-de-Santa-Luzia-Tavira-729513867136563/info,Tavira,Faro
Associação Bamboo – Abrigo de Animais Abandonados,http://associacaobamboo.wix.com/algarve,Vila do Bispo,Faro
GUADI– Centro de Animais,http://www.associacaoguadi.blogspot.pt/,Vila Real de Santo António,Faro
A Casota – Associação Guardense de Protecção de Animais,http://www.acasotaagpa.blogspot.com/,Guarda,Distrito da Guarda
Qoasmi (Quando Os Animais São Mais Importantes) – Associação Protectora dos Animais da Guarda,http://www.facebook.com/apagqoasmi/info,Guarda,Distrito da Guarda
GAPA – Grupo de Amigos dos Peludinhos de Alcobaça,https://www.facebook.com/gapaassociacao.alcobaca/about/,Alcobaça,Leiria
Amigo Fiel – Associação Protectora dos Animais do Bombarral,http://associacaoamigofiel.blogspot.com,Bombarral,Leiria
Associação Rede Leonardo da Vinci – Protecção Animal,http://www.facebook.com/aredeleonardo,Caldas da Rainha,Leiria
CRAPAA– Caldas da Rainha – Associação Protectora dos Animais Abandonados,http://crapaa-animais.blogspot.com/,Caldas da Rainha,Leiria
Pegadas e Bigodes – Associação Amiga dos Animais,https://www.facebook.com/pegadas.bigodes/about/,Figueiró dos Vinhos,Leiria
Associação Zoófila de Leiria «Fiéis Amigos»,http://www.azlfa.com/,Leiria,Leiria
Desprotegidos – Associação de Animais em Risco,http://desprotegidos-aar.blogspot.com/,Leiria,Leiria
APAMG– Associação Protectora de Animais da Marinha Grande,http://www.facebook.com/Associação-Protectora-Animais-Marinha-Grande-110441502304808/info/,Marinha Grande,Leiria
Associação All2Them (Núcleo da Marinha Grande),http://www.facebook.com/all2them.mg/info,Marinha Grande,Leiria
Associação All2Them (Núcleo da Praia da Nazeré),https://www.facebook.com/all2thempraiadanazare/info,Nazaré,Leiria
Associação de Protecção dos Animais de Peniche,http://www.apap-peniche.com/,Peniche,Leiria
Ajudanimal – Associação de Defesa dos Animais de Pombal,http://ajudanimalpombal.blogspot.com/,Pombal,Leiria
Grupo de Socorro Animal de Portugal (SOS Animal): Núcleo de Pombal,http://pombal.sosanimal.com/,Pombal,Leiria
AMIAMA– Associação dos Amigos dos Animais da Amadora,https://www.facebook.com/amiama.amiama/info,Amadora,Lisboa
Associação Feeling Animals,https://www.facebook.com/Feeling-Animals-579598618776263/info,Amadora,Lisboa
Associação RafeiroSOS,https://www.facebook.com/pages/Rafeiros-SOS/141584635877796?sk=info,Amadora,Lisboa
Associação TIARAMA (TIARA – Tratar e Integrar os Animais de Rua da Amadora),https://www.facebook.com/Tiaramadora/info/,Amadora,Lisboa
Associação Patudos do Vale Encantado,https://www.facebook.com/apatudosdovaleencantado/about,Arruda dos Vinhos,Lisboa
Abrigo – Associação de Protecção à Fauna e à Flora,https://abrigoassociacao.pt/,Azambuja,Lisboa
APAAZ – Associação de Protecção aos Animais e Ambiente da Azambuja,https://www.facebook.com/APAAZ.Animais.Ambiente.Azambuja/,Azambuja,Lisboa
APAC– Associação Protectora dos Animais do Cadaval,http://apacanimaiscadaval.wordpress.com/,Cadaval,Lisboa
APDAA – Associação Portuguesa de Direitos dos Animais e do Ambiente,http://apdaa.no.comunidades.net/,Cascais,Lisboa
Associação São Francisco de Assis – Cascais,http://www.sfacascais.pt/,Cascais,Lisboa
Grupo de Voluntários,http://www.grupovoluntarios.org/,Cascais,Lisboa
UPPA– União Para a Protecção dos Animais,http://www.uppa.pt/,Cascais,Lisboa
Associação 1.618 Dignidade Animal,https://www.facebook.com/Associação-1618-DignidadeAnimal-1870810459801220/about,Lisboa,Lisboa
Associação Animais de Rua – Esterilização e Protecção de Animais em Risco (Núcleo de Lisboa),http://www.animaisderua.org/,Lisboa,Lisboa
Associação Kausa Animal Portugal,http://www.kausaanimal.org/,Lisboa,Lisboa
Associação Zoófila Portuguesa,http://www.azp.pt/,Lisboa,Lisboa
Focinhos e Bigodes – Associação Zoófila Para Protecção de Animais Abandonados e Ambiente,http://focinhosebigodes.blogs.sapo.pt/,Lisboa,Lisboa
Grupo de Socorro Animal de Portugal (SOS Animal),http://www.sosanimal.ong.pt/,Lisboa,Lisboa
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo de Lisboa,http://www.pravi.org/index_nucleos.php?nucleo=Lisboa,Lisboa,Lisboa
Sociedade Protectora dos Animais,http://spanimais.wix.com/spa-lisboa,Lisboa,Lisboa
União Zoófila,http://www.uniaozoofila.org/,Lisboa,Lisboa
Zoopata – Associação de Defesa e Apoio a Animais Abandonados e Ambiente,http://zoopata.home.sapo.pt/,Lisboa,Lisboa
Abrigo da Bicharada – Associação,http://www.oabrigodabicharada.com,Loures,Lisboa
Cantinho dos Gatos – Associação Amiga dos Animais e do Ambiente de Santa Iria,http://www.facebook.com/pages/Associação-O-Cantinho-Dos-Gatos/653644521431379?sk=info,Loures,Lisboa
Associação ProjectoJAVA,http://www.projectojava.org/,Lourinhã,Lisboa
AAA – MAFRAnimal – Associação de Ajuda Animal,http://mafranimal.blogspot.pt/,Mafra,Lisboa
AdoroMimos,http://adoromimos2013.wix.com/adoromimos,Mafra,Lisboa
Associação All2Them,http://www.facebook.com/all2them/info,Mafra,Lisboa
Chão dos Bichos – Associação,http://www.facebook.com/chaodosbichos.associacao/info/,Odivelas,Lisboa
Associação Adopta-nos – Live Love and Care,http://www.facebook.com/associacaoadoptanos/info,Oeiras,Lisboa
Instituto Zoófilo Quinta Carbone,https://www.facebook.com/izqcanimais/about/,Oeiras,Lisboa
Missão Patas Felizes – Associação,http://patasfelizes.blogs.sapo.pt,Oeiras,Lisboa
Pé Ante Pata – Grupo de Apoio a Animais Abandonados,http://www.facebook.com/PeantePata,Oeiras,Lisboa
AMOVER - Movimento Movido a 4 Patas,http://www.movidoa4patas.com/,Sintra,Lisboa
Associação Animais de Rua – Esterilização e Protecção de Animais em Risco (Núcleo de Sintra),http://www.animaisderua.org/,Sintra,Lisboa
Associação Canina da Fonte do Lobo,https://www.facebook.com/pg/acaninafontedolobo/about,Sintra,Lisboa
Associação Patas Errantes,http://www.errantes.org,Sintra,Lisboa
Associação Patudos Felizes,http://www.patudosfelizes.org/,Sintra,Lisboa
Associação de Protecção aos Cães Abandonados –APCA,http://www.apca.org.pt/,Sintra,Lisboa
NAAAS– Núcleo de Apoio a Animais Abandonados de Sintra,http://www.naaas.pt/,Sintra,Lisboa
Salvacão – Associação,https://www.facebook.com/Salvacão-Associação-387572304769912/about,Sintra,Lisboa
Entregatos – Associação de Protecção a Gatos Errante,http://assoc-entregatos.blogspot.com/,Sintra,Lisboa
Apanhógato – Associação de Protecção aos Gatos,http://www.facebook.com/apanhogato/info,Torres Vedras,Lisboa
Associação de Protecção Animal Os Amigos de 4 Patas,http://www.facebook.com/a.amigos4patas/info,Torres Vedras,Lisboa
Associação Para Protecção aos Animais,http://apatorresvedras.pt/,Torres Vedras,Lisboa
Associação dos Amigos dos Animais de Vila Franca de Xira,http://aaa.leziria.com/,Vila Franca de Xira,Lisboa
"Os Xanecos, U.A.A.D.A. – União de Amigos dos Animais Desprotegidos de Alverca",http://axanecos.wix.com/axanecos,Vila Franca de Xira,Lisboa
Associação Amigos da Bicharada de Elvas,http://www.facebook.com/pages/Associa%C3%A7%C3%A3o-Amigos-da-Bicharada-de-Elvas/535457213198270?sk=info,Elvas,Portalegre
LAAPS – Liga de Amigos dos Animais de Ponte de Sôr,http://www.facebook.com/LigaDeAmigosDosAnimaisDePonteDeSor/info,Ponte de Sôr,Portalegre
Associação Ajuda Animais em Amarante – AAAAMT,http://www.ajudaanimaisemamarante.pt/,Amarante,Distrito do Porto
Amor Animal – Associação de Protecção Animal de Baião,http://www.facebook.com/amoranimaldebaiao/info,Baião,Distrito do Porto
AAAF – Associação Amigos dos Animais de Felgueira,http://www.facebook.com/aaafel,Felgueiras,Distrito do Porto
Querido Aconchego – Associação Animal de Felgueiras,https://www.facebook.com/pg/queridoaconchego/about/,Felgueiras,Distrito do Porto
Associação Animais da Quinta,http://www.animaisdaquinta.org/,Gondomar,Distrito do Porto
VivAnimal – Associação de Defesa dos Direitos dos Animais,http://animal-vivanimal.blogspot.pt/,Gondomar,Distrito do Porto
ALA – Associação Lousada Animal,http://www.facebook.com/Associação-Lousada-Animal-1422805128036226/info/,Lousada,Distrito do Porto
Cãoviver – Associação de Protecção Animal,http://www.associacaocaoviver.org/,Maia,Distrito do Porto
Cantinho do Tareco – Associação de Protecção Animal,http://cantinhodotareco.blogspot.com/,Maia,Distrito do Porto
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo da Maia,http://www.pravi.org/index_nucleos.php?nucleo=Maia,Maia,Distrito do Porto
Animarco – Associação dos Amigos dos Animais de Marco de Canaveses,http://animarco.do.sapo.pt/,Marco de Canaveses,Distrito do Porto
Associação MIACIS– Protecção e Integração Animal,http://www.miacis.org/,Matosinhos,Distrito do Porto
MIDAS– Movimento Internacional Para Defesa dos Animais,http://www.associacaomidas.com,Matosinhos,Distrito do Porto
Associação Cemtrela,http://www.facebook.com/associacao.cemtrela,Paços de Ferreira,Distrito do Porto
Os Pecaninos– Associação Protectora dos Animais do Concelho de Paços de Ferreira,http://www.facebook.com/os.pecaninos,Paços de Ferreira,Distrito do Porto
Associação Patudos de Paredes,https://www.facebook.com/AssociacaoPatudosdeParedes/info/,Paredes,Distrito do Porto
AAAP– Associação dos Amigos dos Animais do Porto,http://www.aaaporto.org/,Porto,Distrito do Porto
Associação Animais de Rua – Esterilização e Protecção de Animais em Risco,http://www.animaisderua.org/,Porto,Distrito do Porto
Associação Causas de Caudas,https://www.causasdecaudas.org/,Porto,Distrito do Porto
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo do Porto,http://www.pravi.org/index_nucleos.php?nucleo=Porto,Porto,Distrito do Porto
SPA– Sociedade Protectora dos Animais do Porto,http://spa.no.sapo.pt/index_spa.html,Porto,Distrito do Porto
Associação Animais Como Nós,http://www.animaiscomonos.org/,Póvoa de Varzim,Distrito do Porto
ASAAST– Associação dos Amigos dos Animais de Santo Tirso,http://www.asaastirso.blogspot.com/,Santo Tirso,Distrito do Porto
"AUAUA– Associação «Um Animal, Um Amigo»",http://sites.google.com/site/associacaoumanimalumamigo/,Trofa,Distrito do Porto
ACERCA– Abrigo dos Animais Abandonados,http://www.animalife.pt/acerca/,Vila do Conde,Distrito do Porto
Associação Protectora dos Animais 4 Por 1,http://www.facebook.com/associacao4por1/info,Vila do Conde,Distrito do Porto
Associação Cantinho das Quatro Patas,http://cantinhodas4patas.webnode.pt/,Vila Nova de Gaia,Distrito do Porto
De Patas Unidas – Associação de Acolhimento e Reabilitação de Animais Para Adopção,https://www.facebook.com/apadepatasunidas/about/,Vila Nova de Gaia,Distrito do Porto
Senhores Bichinhos – Associação de Protecção aos Animais,http://www.senhoresbichinhos.net,Vila Nova de Gaia,Distrito do Porto
ADACA– Associação de Defesa dos Animais do Concelho de Abrantes,http://adaca01.blogspot.com/,Abrantes,Santarém
Associação Clube dos Patolas,N/A,Almeirim,Santarém
Refúgio Vital – Associação de Defesa Animal,https://www.facebook.com/refugiovitaldefesaanimal/about,Benavente,Santarém
APAAC– Associação de Protecção aos Animais Abandonados do Cartaxo,http://apaac.zapto.org/,Cartaxo,Santarém
Tico & Teco– Associação de Luta e Prevenção Contra o Abandono Animal,http://ticoeteco-alpcaa.blogspot.pt/,Cartaxo,Santarém
Associação – Os Amigos dos Animais e do Ambiente da Chamusca,http://www.facebook.com/pages/Associa%C3%A7%C3%A3o-Amigos-dos-Animais-da-Chamusca/150080841712938?sk=info&tab=page_info,Chamusca,Santarém
Associação dos Amigos dos Animais de Coruche,http://www.facebook.com/pages/associa%C3%A7ao-dos-amigos-dos-animais-de-coruche/120679264677199?id=120679264677199&sk=info,Coruche,Santarém
Companhia da Bicharada – Associação Protectora de Animais,http://companhiadabicharada.jimdo.com/,Entroncamento,Santarém
Associação Protectora dos Animais «Os Bons Amigos»,http://www.facebook.com/apaba.golega/info,Golegã,Santarém
Associação Protectora dos Animais Abandonados de Fátima,http://www.facebook.com/apaaf1/info,Ourém,Santarém
Associação Amigos dos Animais de Rio Maior,http://animaisderiomaior.wix.com/adotar,Rio Maior,Santarém
Patinhas de Rua – Associação Riomaiorense de Protecção à Fauna e Flora,http://www.facebook.com/Patinhas-de-Rua-de-Rio-Maior-604302826336381/info,Rio Maior,Santarém
– Associação Rio Maiorense de Protecção a Animais,N/A,Rio Maior,Santarém
Associação Vira Latas,http://www.facebook.com/assoc.viralatas/info,Salvaterra de Magos,Santarém
Associação Scalabitana de Protecção de Animais,http://www.aspasantarem.com.pt/,Santarém,Santarém
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo de Santarém,http://www.pravi.org/index_nucleos.php?nucleo=Santarem,Santarém,Santarém
APAR – Associação Protectora dos Animais da Região do Ribatejo,http://www.facebook.com/aparr.tomar/info,Tomar,Santarém
Associação Protectora dos Animais de Torres Novas,http://www.facebook.com/apadtn/info,Torres Novas,Santarém
Focinho's – Associação de Protecção dos Animais de Alcácer,http://www.facebook.com/pages/Associa%C3%A7%C3%A3o-Focinhos/209897955706990?id=209897955706990&sk=info,Alcácer do Sal,Setúbal
"""Os Canitos"" – Associação Para Protecção dos Animais Abandonados",http://www.facebook.com/pages/Os-Canitos-Associa%C3%A7%C3%A3o/587367351343857,Alcochete,Setúbal
Alfaiate – Associação para a Defesa e Protecção dos Animais em Alcochete,N/A,Alcochete,Setúbal
"Associação ""Os Amigos dos Animais""",http://www.animaisalmada.pt/,Almada,Setúbal
"Associação ""Onde Há Gato...""",http://ondehagatonaoharato.wix.com/gato/,Almada,Setúbal
"P.A.T.A.S. & Tino Portugal – Associação de Defesa Animal""",http://www.facebook.com/p.animais.t.adopcao.s/info,Almada,Setúbal
Associação Albergue da Toxa & Companhia – Barreiro,http://alberguedatoxa2004.wix.com/alberguedatoxa,Barreiro,Setúbal
SOSBicharada – Associação de Defesa Animal do Barreiro,http://www.sosbicharadabrr.blogspot.com/,Barreiro,Setúbal
Associação Grandolense Os Amigos dos Animais,http://www.facebook.com/amigosdosanimaisgrandola,Grândola,Setúbal
Associação dos Amigos dos Animais Abandonados da Moita,http://www.animalife.pt/aaaamoita,Moita,Setúbal
Azáfama ao Rubro – Associação de Protecção a Animais (Casa Amarela),http://www.facebook.com/Casa-Amarela-Associação-Azáfama-ao-Rubro-319111198102334/info,Moita,Setúbal
Associação Anjo Animal,https://www.facebook.com/cantinhodoanjoanimal/about/,Montijo,Setúbal
Quintinha ABC – Associação Protectora dos Animais,http://www.facebook.com/QuintinhaABC/info,Palmela,Setúbal
Associação S. Francisco de Assis,http://www.facebook.com/associacaosaofranciscodeassis/info,Santiago do Cacém,Setúbal
Associação dos Amigos dos Animais do Seixal,http://www.facebook.com/associacaodosamigosdosanimaisdoseixal/info,Seixal,Setúbal
Grupo de Voluntários no Canil/Gatil Municipal do Seixal,http://www.facebook.com/pages/G-Volunt%C3%A1rios-no-CanilGatil-Municipal-do-Seixal/374758795923160?id=374758795923160&sk=info,Seixal,Setúbal
A PUCA – Associação Por Uma Causa Animal,http://associacao-por-uma-causa-animal.webnode.pt/,Sesimbra,Setúbal
Bianca – Associação Protecção aos Animais Sem Lar do Concelho de Sesimbra,http://www.bianca.pt/,Sesimbra,Setúbal
Associação o Cantinho da Milú,http://www.ocantinhodamilu.com,Setúbal,Setúbal
Esperançanimal – Associação,http://www.facebook.com/pages/EsperançAnimal/245422615490859,Setúbal,Setúbal
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo de Setúbal,http://www.pravi.org/index_nucleos.php?nucleo=Setubal,Setúbal,Setúbal
Rafeiros Leais – Associação de Protecção Animal (Amigos do Ruas),http://www.facebook.com/rafeirosleais/info,Setúbal,Setúbal
Sobreviver – Associação de Defesa Animal de Setúbal,http://sobreviver.blogspot.com/,Setúbal,Setúbal
Quatro Patas – Associação Abrigo dos Animais de Sines,http://www.facebook.com/4PatasSines/info,Sines,Setúbal
A Selva dos Animais Domésticos – Associação Protectora dos Animais de Caminha,http://selvadosanimais.no.sapo.pt/,Caminha,Viana do Castelo
Rafeiros & Companhia – Associação Protetora dos Animais Abandonados de Monção,http://www.facebook.com/rafeiros.ecompanhia/info,Monção,Viana do Castelo
Acod'Animais – Associação Courense de Defesa dos Animais,http://www.facebook.com/acodanimais.associacaocourensedefesaanimais,Paredes de Coura,Viana do Castelo
ALAAR– Associação Limiana dos Amigos dos Animais de Rua,http://www.alaar.com/,Ponte de Lima,Viana do Castelo
Mimos & Ternuras – Associação de Protecção de Animais de Valença,mailto:mimos-e-ternuras@sapo.pt,Valença,Viana do Castelo
SELVAGENIAL– Associação Protectora de Animais Abandonados,http://www.selvagenial.org/,Valença,Viana do Castelo
Associação Gatos de Ninguém,http://gatosdeninguem.wix.com/gatos,Viana do Castelo,Viana do Castelo
Associação Vila Animal de Viana,http://vilaanimalviana.pt/,Viana do Castelo,Viana do Castelo
Patas e Patas – Associação de Defesa dos Animais de Cerveira,http://www.facebook.com/pages/Patas-e-Patas/914934458532838?sk=info,Vila Nova de Cerveira,Viana do Castelo
AAAC– Associação dos Amigos dos Animais de Chaves,http://www.aaac.wordpress.com,Chaves,Vila Real
Pata Tonta – Associação de Protecção de Animais,http://www.facebook.com/profile.php?id=100000802671869,Mondim de Basto,Vila Real
Associação Companhia dos Animais Abandonados – Companhia dos Animais,http://www.facebook.com/companhiadosanimais.pesodaregua/info,Peso da Régua,Vila Real
ANIPUR – Associação de Defesa dos Animais e Ambiente de Terras de Aguiar,https://www.facebook.com/Anipur-Associação-De-Defesa-Dos-Animais-E-Ambiente-Terras-De-Aguiar-519844228367235/about,Vila Pouca de Aguiar,Vila Real
– Associação de Defesa dos Direitos dos Animais e Natureza de Terras de Aguiar,N/A,Vila Pouca de Aguiar,Vila Real
Plataforma ProAnimal (Associação de Protecção Animal de Vila Real),http://www.facebook.com/plataformaproanimalVR/info,Vila Real,Vila Real
PRAVI – Projecto de Apoio a Vítimas Indefesas: Núcleo de Vila Real,http://www.pravi.org/index_nucleos.php?nucleo=VReal,Vila Real,Vila Real
AAPARC – Associação dos Amigos e Protectores dos Animais em Risco de Cinfães,http://www.facebook.com/aaparcinfaes/info,Cinfães,Viseu
