Nome,E-mail,Morada,Telefone,URL
: Associação Tudo Vai Melhorar,geral@tudovaimelhorar.org,"Rua Mouzinho da Silveira, 234/6/8
4050-017",918275236,https://www.cig.gov.pt/ong/associacao-tudo-vai-melhorar/
: Obra Gay Associação,helder.bertolo@opusdiversidades.org,"Rua da Ilha Terceira, 34-2º
1000-173",917993835,https://www.cig.gov.pt/ong/obra-gay-associacao/
: Confederação Geral dos Trabalhadores Portugueses - Intersindical Nacional,secretariado@cgtp.pt,"Rua Vítor Cordon, n.º 1, 2.º andar
1249-102",213236500,https://www.cig.gov.pt/ong/confederacao-geral-dos-trabalhadores-portugueses-intersindical-nacional/
: Associação de Mulheres Contra a Violência,sede@amcv.org.pt,"Rua João Villaret, 9
1000-182 Lisboa",213802160,https://www.cig.gov.pt/ong/associacao-de-mulheres-contra-a-violencia/
: Movimento Democrático de Mulheres,geral@mdm.org.pt,"Avenida Almirante Reis, 90 - 7º A
1150-022",925993333,https://www.cig.gov.pt/ong/movimento-democratico-de-mulheres/
": Sociedade de Estudos e Intervenção em Engenharia Social, CRL",seies@cooperativaseies.org,"Rua José Pereira Martins nº 14, 2900-376 Setúbal
2900-376",265457450,https://www.cig.gov.pt/ong/sociedade-de-estudos-e-intervencao-em-engenharia-social-crl/
: Associação de Defesa dos Direitos Humanos de Guimarães,direccao@addhg.org,"Rua da Igreja
4805-191",965546763,https://www.cig.gov.pt/ong/associacao-de-defesa-dos-direitos-humanos-de-guimaraes/
: Ribaltambição- Associação para a Igualdade de Género nas Comunidades Ciganas,associacaoribaltambicaocigana@gmail.com,"Rua João António Luz Robim Borges16 cave sq
3080-634",918920837,https://www.cig.gov.pt/ong/ribaltambicao-associacao-para-a-igualdade-de-genero-nas-comunidades-ciganas/
: Associação Portuguesa de Mulheres Juristas,sede@apmj.pt,"R. Manuel Marques nº21 P
1750-170",968793580,https://www.cig.gov.pt/ong/associacao-portuguesa-de-mulheres-juristas/
: Paramédicos de catástrofe Internacional-PCI,presidente@paramedico-internacional.org,"Rua Pedro Álvares Cabral
1675-151",913817780,https://www.cig.gov.pt/ong/36302/
: A GERADORA - COOPERATIVA INTEGRAL CRL,agcoop@sapo.pt,"Rua da Quinta S/N
6420-791",916484777,https://www.cig.gov.pt/ong/a-geradora-cooperativa-integral-crl/
: Associação Portuguesa de Apoio à Vítima,apav.sede@apav.pt,"Rua José Estevão nº 135 A
1150-201 Lisboa",213587900,https://www.cig.gov.pt/ong/associacao-portuguesa-de-apoio-a-vitima/
: Associação Portuguesa de Estudos sobre as Mulheres,apem1991@gmail.com,"Centro Maria Alzira Lemos, Casa das Associações, Parque Infantil do Alvito, Estrada do Alvito
1300-054",962730527,https://www.cig.gov.pt/ong/associacao-portuguesa-de-estudos-sobre-as-mulheres/
": FEMAFRO - Associação de Mulheres Negras, Africanas e Afrodescendentes em Portugal",femafroportugal@gmail.com,"Praceta Antero de Quental 15, 3º Esquerdo
2855-214",929016023,https://www.cig.gov.pt/ong/femafro-associacao-de-mulheres-negras-africanas-e-afrodescendentes-em-portugal/
: BUSINESS as NATURE – Associação para a Produção e Consumo Sustentável e a Economia Circular,geral@businessasnature.org,"Avenida 1º de Maio, Edifício Teatro-Cine
6290-541",912345948,https://www.cig.gov.pt/ong/business-as-nature-associacao-para-a-producao-e-consumo-sustentavel-e-a-economia-circular/
: Associação para o Desenvolvimento Integrado da Cidade de Ermesinde,geral@adice.pt,"Rua Miguel Bombarda, nº440
4445-509",224219570,https://www.cig.gov.pt/ong/associacao-para-o-desenvolvimento-integrado-da-cidade-de-ermesinde/
: Ação Pela Identidade - Associação,associacaopelaidentidade@gmail.com,"Rua Ferreira de Castro
1950-133",928080496,https://www.cig.gov.pt/ong/acao-pela-identidade-associacao/
: VIDAs Associação Portuguesa de Menopausa,direccaovidas@gmail.com,"Rua José Luis Araújo 9, 4º esq
4435-154 Rio Tinto",913838313,https://www.cig.gov.pt/ong/vidas-associacao-portuguesa-de-menopausa/
: ASSOCIAÇÃO PLANO I,direcao@associacaoplanoi.org,"Rua de Baixo, n.º 6
4050-086 PORTO",222085052,https://www.cig.gov.pt/ong/associacao-plano-i/
": FEM - Feministas Em Movimento, Associação",fem@fem.org.pt,"Casa das Associações, Rua Mário Casimiro
2820-043",915794417,https://www.cig.gov.pt/ong/fem-feministas-em-movimento-associacao/
