NOME ONGD,TELEFONE / TELEMÓVEL,EMAIL,SITE,MORADA,CONCELHO,DISTRITO,FORMA JURÍDICA,ANO REGISTO,NIPC,Código Postal,LOGOTIPO,SOURCE
"Tree Institute - Associação para o Desenvolvimento Económico, Social e Humano",210438600,geral@tree-institute.org,http://www.tree-institute.org,Rua dos Inventores 2824 - 182 Caparica,,,,,510099920,,https://ong.pt/dir/images/sobipro/entries/928/img_Tree Institute.jpg,ONG.PT
FLAD - Fundação Luso-Americana para o Desenvolvimento,213935800,fladport@flad.pt,http://www.flad.pt,"Rua Sacramento à Lapa, 21 1249-090 Lisboa",,,,,501526307,,https://ong.pt/dir/images/sobipro/entries/926/img_Fundação Luso-Americana.jpg,ONG.PT
Associação Máquina do Mundo,214751420,geral@amm.org.pt,http://www.facebook.com/maquina.do.mundo,"Rua Jau, 23 5ºEsq. 1300-311 LISBOA",,,,,509216579,,https://ong.pt/dir/images/sobipro/entries/924/img_Máquina do Mundo.jpg,ONG.PT
ACEGE - Associação Cristã de Empresários e Gestores,217941323,acege@acege.pt,http://www.acege.pt,"Rua Julieta Ferrão, 10 - 8º Dto. 1600-131 Lisboa",,,,,504810510,,https://ong.pt/dir/images/sobipro/entries/920/img_ACEGE.jpg,ONG.PT
Fundação LIGA - Promoção da Funcionalidade Humana,213616910,fundacaoliga@fundacaoliga.pt,http://www.fundacaoliga.pt,Rua do Sitio ao Casalinho da Ajuda 1349 – 011 Lisboa Portugal,,,,,504852728,,https://ong.pt/dir/images/sobipro/entries/919/img_Fundação Liga.jpg,ONG.PT
APEA - Associação Portuguesa de Emprego Apoiado,212064934,apea.secretariado@gmail.com,http://empregoapoiadopt.wordpress.com,"CP5063, Rua 19, nº 13 – Quimiparque 2831-904 Barreiro",,,,,506738477,,https://ong.pt/dir/images/sobipro/entries/918/img_APEA - Associação Portuguesa de Emprego Apoiado.jpg,ONG.PT
"Tree Institute - Associação para o Desenvolvimento Económico, Social e Humano",210438600,geral@tree-institute.org,http://www.tree-institute.org,Rua dos Inventores 2824 - 182 Caparica,,,,,510099920,,"https://ong.pt/dir/images/sobipro/entries/892/img_Tree Institute - Associação para o Desenvolvimento Económico, Social e Humano.jpg",ONG.PT
FLAD - Fundação Luso-Americana para o Desenvolvimento,213935800,fladport@flad.pt,http://www.flad.pt,"Rua Sacramento à Lapa, 21 1249-090 Lisboa",,,,,501526307,,https://ong.pt/dir/images/sobipro/entries/890/img_FLAD - Fundação Luso-Americana para o Desenvolvimento.jpg,ONG.PT
Associação Máquina do Mundo,214751420,geral@amm.org.pt,http://www.facebook.com/maquina.do.mundo,"RUA JAU, 23 5ºESQ. 1300-311 LISBOA",,,,,509216579,,https://ong.pt/dir/images/sobipro/entries/888/img_Associação Máquina do Mundo.jpg,ONG.PT
Associação Máquina do Mundo,214751420,geral@amm.org.pt,http://www.facebook.com/maquina.do.mundo,"RUA JAU, 23 5ºESQ. 1300-311 LISBOA",,,,,509216579,,https://ong.pt/dir/images/sobipro/entries/888/img_Associação Máquina do Mundo.jpg,ONG.PT
APEE - Associação Portuguesa de Ética Empresarial,234345503,apee@apee.pt,http://www.apee.pt,"rua dr. joão de moura, nº 47 3810-157 aveiro",,,,,506320871,,https://ong.pt/dir/images/sobipro/entries/885/img_APEE - Associação Portuguesa de Ética Empresarial.png,ONG.PT
ACEGE - Associação Cristã de Empresários e Gestores,217941323,acege@acege.pt,http://www.acege.pt,"Rua Julieta Ferrão, 10 - 8º Dto. 1600-131 Lisboa",,,,,504810510,,https://ong.pt/dir/images/sobipro/entries/884/img_ACEGE - Associação Cristã de Empresários e Gestores.jpg,ONG.PT
Fundação LIGA - Promoção da Funcionalidade Humana,213616910,fundacaoliga@fundacaoliga.pt,http://www.fundacaoliga.pt,Rua do Sitio ao Casalinho da Ajuda 1349 – 011 Lisboa Portugal,,,,,504852728,,https://ong.pt/dir/images/sobipro/entries/883/img_Fundação LIGA - Promoção da Funcionalidade Humana.jpg,ONG.PT
APEA - Associação Portuguesa de Emprego Apoiado,212064934,apea.secretariado@gmail.com,http://www.empregoapoiadopt.wordpress.com,"CP5063, Rua 19, nº 13 – Quimiparque 2831-904 Barreiro",,,,,506738477,,https://ong.pt/dir/images/sobipro/entries/882/img_APEA - Associação Portuguesa de Emprego Apoiado.jpg,ONG.PT
Associação Indiveri Colucci,214468698,geral@colucci.pt,http://www.colucci.pt,"RUA LINO DE ASSUNÇÃO, 6 2770-109 PAÇO DE ARCOS",,,,,502046481,,https://ong.pt/dir/images/sobipro/entries/878/img_Associação Indiveri Colucci.jpg,ONG.PT
Associação de Apoio Social Nossa Senhora de Assunção,214857700,geral@aisa.com.pt,http://www.facebook.com/AISA.IPSS,"Rua de Cascais  Malveira Da Serra, Lisboa",,,,,502369345,,https://ong.pt/dir/images/sobipro/entries/870/img_Associação de Apoio Social Nossa Senhora de Assunção.jpg,ONG.PT
Casa Índigo,214420197,indigo@casa-indigo.com,http://www.casa-indigo.com,"Praceta Dom João I, 112-A, Caparide São Domingos de Rana, 2785-379",,,,,510155243,,https://ong.pt/dir/images/sobipro/entries/868/img_casa indigo.jpg,ONG.PT
Dignitas Vitae - Dignidade à Diferença,912462726,info@dignitasvitae.org,http://www.dignitasvitae.org,"Estrada de Talaíde, 70I 2740-169 Porto Salvo Oeiras",,,,,510715800,,https://ong.pt/dir/images/sobipro/entries/864/img_Dignitas Vitae.jpg,ONG.PT
Dignitas Vitae - Dignidade à Diferença,912462726,info@dignitasvitae.org,http://www.dignitasvitae.org,"Estrada de Talaíde, 70I 2740-169 Porto Salvo Oeiras",,,,,510715800,,https://ong.pt/dir/images/sobipro/entries/864/img_Dignitas Vitae.jpg,ONG.PT
Associação Olmo,,info@olmo.pt,http://www.olmo.pt,"Rua José da Costa Pedreira Lote 1, 9º D 1750-130 Lisboa",,,,,510488382,,https://ong.pt/dir/images/sobipro/entries/861/img_Associação Olmo.png,ONG.PT
Associação Amma Portugal,,ammaportugal@gmail.com,http://www.ammaportugal.org,"RUA NINA MARQUES PEREIRA, 13 5ºESQ. 1500-468 LISBOA",,,,,509157416,,https://ong.pt/dir/images/sobipro/entries/860/img_Associação Amma Portugal.jpg,ONG.PT
Associação Viva há Vida,918251641,vivahavida@gmail.com,http://www.vivahavida.pt,"PRACETA 1. DE MAIO, 12 R/C ESQ. POSTERIOR 2860-425 MOITA",,,,,507570715,,https://ong.pt/dir/images/sobipro/entries/859/img_Associação Viva há  Vida.jpg,ONG.PT
Associação Medinterna,916968958,info@medinterna.org,http://www.medinterna.org,Alameda Prof. Hernâni Monteiro Serviço de Medicina Interna Unidade M4 — Piso 3 4202 – 451 PORTO,,,,,505857278,,https://ong.pt/dir/images/sobipro/entries/858/img_Associação Medinterna.png,ONG.PT
Associação Portuguesa dos Veteranos de Guerra,253260932,info@apvg.pt,http://www.apvg.pt/index.php,"Campo das Carvalheiras, 54  4700-419 BRAGA",,,,,504330330,,https://ong.pt/dir/images/sobipro/entries/839/img_Associação Portuguesa dos Veteranos de Guerra.gif,ONG.PT
A.A.P.M. - Associação De Amigos Do Reverendo Padre José Dos Santos Ferreira De Moura,229759514,geral.aapm@gmail.com,http://www.aapm.pt,"Rua São Vicente de Paulo, 218, 4435-807 Baguim do Monte",,,,,503529222,,https://ong.pt/dir/images/sobipro/entries/834/img_A.A.P.M. - Associação De Amigos Do Reverendo Padre José Dos Santos Ferreira De Moura.jpg,ONG.PT
HELPSOL - Associação de Cooperação e Desenvolvimento,926465090,helpsol@outlook.com,http://www.facebook.com/onghelpsol/timeline,"Rua Marechal Teixeira Rebelo, 33 - 5000-525 Vila Real",,,,,510779085,,https://ong.pt/dir/images/sobipro/entries/833/img_HELPSOL - Associação de Cooperação e Desenvolvimento.jpg,ONG.PT
Associação Portugal - Moçambique,222037876,espacomocambique@sapo.pt,http://www.espacomocambique.com,"Largo Duque da Ribeira, 32-54 4050 Porto",,,,,504291319,,https://ong.pt/dir/images/sobipro/entries/828/img_Associação Portugal - Moçambique.jpg,ONG.PT
Associação Portugal - Moçambique,222037876,espacomocambique@sapo.pt,http://www.espacomocambique.com,"Largo Duque da Ribeira, 32-54 4050 Porto",,,,,504291319,,https://ong.pt/dir/images/sobipro/entries/828/img_Associação Portugal - Moçambique.jpg,ONG.PT
Associação Portuguesa de Apoio Mãe Solteira,222022098,info@apams.pt,http://www.apams.pt,Rua Fonseca Cardoso nº 39 S/L—4000-233 Porto,,,,,509546358,,https://ong.pt/dir/images/sobipro/entries/823/img_Associação Portuguesa de Apoio Mãe Solteira.jpg,ONG.PT
Congregação das Irmãs Dominicanas de Santa Catarina de Sena,217720020,dominicanas.scs@gmail.com,http://www.dominicanas-scs.pt,"Largo de São Domingos de Benfica, 14 1500-554 Lisboa",,,,,501483403,,https://ong.pt/dir/images/sobipro/entries/820/img_Congregação das Irmãs Dominicanas de Santa Catarina de Sena.png,ONG.PT
Associação Juvemédia,213542711,info@juvemedia.pt,http://www.juvemedia.pt,"Rua Gomes Freire, nº 183 — 3º Esquerdo 1150-177 Lisboa",,,,,502137690,,https://ong.pt/dir/images/sobipro/entries/815/img_Associação Juvemédia.jpg,ONG.PT
Associação Portuguesa de Direito Intelectual,217974013,apdi@apdi.pt,http://www.apdi.pt,"Campo Grande, 28 - 9º C 1700-093 LISBOA",,,,,503873292,,https://ong.pt/dir/images/sobipro/entries/813/img_Associação Portuguesa de Direito Intelectual.jpg,ONG.PT
Associação Portuguesa de Mulheres Juristas,217594499,apmjsede@apmj.pt,http://www.apmj.pt,"Rua Manuel Marques, nº 21-P  1750-170 Lisboa",,,,,502066415,,https://ong.pt/dir/images/sobipro/entries/812/img_Associação Portuguesa de Mulheres Juristas.jpg,ONG.PT
CAVITOP - Centro de Apoio a Vítimas de Tortura,213867082,geral@cavitop.org,http://www.cavitop.org,"Rua da Artilharia 1, Nº 48, 3º Dto 1700-013 Lisboa",,,,,506147193,,https://ong.pt/dir/images/sobipro/entries/811/img_CAVITOP - Centro de Apoio a Vítimas de Tortura.gif,ONG.PT
Fundação Vox Populi,217577932,geral@fvp.pt,http://www.fvp.pt,"Rua Professor Dias Amado, nº 20 1600-613 LISBOA",,,,,508335213,,https://ong.pt/dir/images/sobipro/entries/805/img_Fundação Vox Populi.gif,ONG.PT
Associação Sons da Lusofonia,213463244,geral@sonsdalusofonia.com,http://www.sonsdalusofonia.com,Rua da Rosa nº145 1200-383 Lisboa,,,,,503579149,,https://ong.pt/dir/images/sobipro/entries/804/img_Associação Sons da Lusofonia.jpg,ONG.PT
Associação Sons da Lusofonia,213463244,geral@sonsdalusofonia.com,http://www.sonsdalusofonia.com,Rua da Rosa nº145 1200-383 Lisboa,,,,,503579149,,https://ong.pt/dir/images/sobipro/entries/804/img_Associação Sons da Lusofonia.jpg,ONG.PT
Associação Humana,212801587,info@humana-portugal.org,http://www.humana-portugal.org,"Urbanização do Passil Rua B, nº 104, Armazém A 2890-171 Alcochete",,,,,505178281,,https://ong.pt/dir/images/sobipro/entries/803/img_Associação Humana.jpg,ONG.PT
Associação de Socorros Mútuos dos Empregados no Comércio e Indústria,218843120,asmeci@asmeci.org,http://www.asmeci.org,"Rua da Palma, nº. 237 1100-391 Lisboa",,,,,500032424,,https://ong.pt/dir/images/sobipro/entries/796/img_Associação de Socorros Mútuos dos Empregados no Comércio e Indústria.jpg,ONG.PT
Associação Cristã de Acolhimento Milénio,272323201,accaosocialacam@gmail.com,http://www.acam-milenio.org,Rua 5 de Outubro n1 r/c,,,,,507456335,,https://ong.pt/dir/images/sobipro/entries/792/img_Associação Cristã de Acolhimento Milénio.jpg,ONG.PT
Associação Todos Pelos Outros,917985452,todospelosoutros@gmail.com,http://www.todospelosoutros.pt,"RUA DOM DUARTE NUNO, 50 3025-582 ZOUPARRIA DO CAMPO",,,,,510076505,,https://ong.pt/dir/images/sobipro/entries/791/img_Associação Todos Pelos Outros.jpg,ONG.PT
Associação Viver Não Custa,,associacaovivernaocusta@gmail.com,http://www.facebook.com/ASSVNC,Largo Alferes Francisco   Duarte 12 – C 1170 - 008 Lisboa,,,,,510341110,,https://ong.pt/dir/images/sobipro/entries/764/img_Associação Viver Não Custa.png,ONG.PT
Associação Conversa Amiga,911867322,geral@conversa.pt,http://www.conversa.pt,"Alto do Pina, Lisboa",,,,,508047897,,https://ong.pt/dir/images/sobipro/entries/758/img_Associação Conversa Amiga.png,ONG.PT
Projecto Alkantara,216006511,presidente@projectoalkantara.org,http://www.projectoalkantara.org,Bairro do Cabrinha Loja 2/A e 4/A 1300-906 Lisboa,,,,,504479024,,https://ong.pt/dir/images/sobipro/entries/754/img_Projecto Alkantara.jpg,ONG.PT
Assistência Médica Internacional Lisboa,218362100,fundacao.ami@ami.org.pt,http://www.ami.org.pt,"R. José do Patrocínio, 49 1959-003 Lisboa",,,,,501501240,,https://ong.pt/dir/images/sobipro/entries/729/img_Assistência Médica Internacional Lisboa.jpeg,ONG.PT
Assistência Médica Internacional Lisboa,218362100,fundacao.ami@ami.org.pt,http://www.ami.org.pt,"R. José do Patrocínio, 49 1959-003 Lisboa",,,,,501501240,,https://ong.pt/dir/images/sobipro/entries/729/img_Assistência Médica Internacional Lisboa.jpeg,ONG.PT
Fundação Afid Diferença,214724040,fundacao@fund-afid.org.pt,http://www.fund-afid.org.pt,"Rua Quinta do Paraíso, Alto Moinho, 2610-316 Amadora, PORTUGAL",,,,,507367111,,https://ong.pt/dir/images/sobipro/entries/728/img_Fundação Afid Diferença.jpg,ONG.PT
"Centro de Apoio à Infância e à Juventude, O Vigilante",214989900,geral@ovigilante.pt,http://www.ovigilante.pt,"Rua 5 de Outubro, Nº 7 B 2700-197 AMADORA",,,,,501972439,,"https://ong.pt/dir/images/sobipro/entries/700/img_Centro de Apoio à Infância e à Juventude, O Vigilante.png",ONG.PT
Casa de Protecção e Amparo de Santo António,213955241,geral@casasantoantonio.org.pt,http://www.casasantoantonio.org.pt,"Calçada das Necessidades nº 2, 1350-214 Lisboa",,,,,501250972,,https://ong.pt/dir/images/sobipro/entries/693/img_Casa de Protecção e Amparo de Santo António.jpg,ONG.PT
Cáritas Diocesana de Lisboa,213573386,geral@caritaslisboa.pt,http://www.caritas.pt/site/lisboa,"Av. Sidónio Pais, n.º 20 – 5.º Dt.º, 1050 – 215 Lisboa",,,,,500910227,,https://ong.pt/dir/images/sobipro/entries/691/img_Cáritas Diocesana de Lisboa.jpg,ONG.PT
Associação Solidariedade sem Fronteiras,968874115,solidariedadesf@gmail.com,http://www.solidariedadesemfronteiras.org,Antigas Escolas 6090 - Aldeia de João Pires,,,,,509095836,,https://ong.pt/dir/images/sobipro/entries/679/img_Associação Solidariedade sem Fronteiras.png,ONG.PT
Associação Solidariedade Social dos Professores,218155466,info@assp.pt,http://www.assp.pt,"Largo do Monte, 1 - 1170-253 LISBOA",,,,,501406336,,https://ong.pt/dir/images/sobipro/entries/678/img_Associação Solidariedade Social dos Professores.gif,ONG.PT
Associação Projecto REKLUSA,213629037,reklusa.social@gmail.com,http://www.reklusa.com,Rua das Amoreiras Nº69/71  1250-111 Lisboa,,,,,509429912,,https://ong.pt/dir/images/sobipro/entries/671/img_Associação Projecto REKLUSA.jpg,ONG.PT
Associação Portuguesa De Famílias Numerosas,217552603,apfn@apfn.com.pt,http://www.apfn.com.pt,"RUA JOSÉ CALHEIROS, 15 1400-229 Lisboa",,,,,504359851,,https://ong.pt/dir/images/sobipro/entries/637/img_Associação Portuguesa De Famílias Numerosas.jpg,ONG.PT
Associação Portuguesa De Famílias Numerosas,217552603,apfn@apfn.com.pt,http://www.apfn.com.pt,"RUA JOSÉ CALHEIROS, 15 1400-229 Lisboa",,,,,504359851,,https://ong.pt/dir/images/sobipro/entries/637/img_Associação Portuguesa De Famílias Numerosas.jpg,ONG.PT
Associação Afectos Com Letras,918786792,afectoscomletras@gmail.com,http://www.afectoscomletras.blogspot.pt,"Rua Eng Guilherme Santos, nº 2 Escoural, 3100-336 Pombal",,,,,509301878,,https://ong.pt/dir/images/sobipro/entries/625/img_Associação Afectos Com Letras.png,ONG.PT
Associação ´Karingana Wa Karingana´,919052986,associacao@karinganawakaringana.org,http://www.karinganawakaringana.org,Av. Mouzinho Albuquerque 11 – 2º Esq 1170-257  LISBOA,,,,,509621945,,https://ong.pt/dir/images/sobipro/entries/624/img_Associação ´Karingana Wa Karingana´.jpg,ONG.PT
Alkajuda,966817266,alkajuda@gmail.com,http://www.alkajudaassociacao.wix.com,"Rua da Cascalheira, n.º 9, Alcântara 1300-121 Lisboa",,,,,510285945,,https://ong.pt/dir/images/sobipro/entries/618/img_Alkajuda.png,ONG.PT
ABLA - Associação Beneficência Luso-Alemã,214549000,geral@abla.org,http://www.abla.org,"Praceta Infante Dom Henrique, 80 Quinta do Junqueiro 2775-584 Carcavelos",,,,,501428925,,https://ong.pt/dir/images/sobipro/entries/614/img_ABLA - Associação Beneficência Luso-Alemã.jpg,ONG.PT
Somos Nós - Associação para a Autonomia Integração de Jovens Deficientes,966419450,somosnos@somosnos.net,http://www.somosnos.net,"Rua Bartolomeu Velho, 501 4150-124 Porto",,,,,507925394,,https://ong.pt/dir/images/sobipro/entries/595/img_Somos Nós - Associação para a Autonomia Integração de Jovens Deficientes.jpg,ONG.PT
MSV - Movimento ao Serviço da Vida,213223430,ttavares@msv.pt,http://www.msv.pt,"Rua da Assunção, 7 – 4º 1100-042 Lisboa",,,,,504287311,,https://ong.pt/dir/images/sobipro/entries/437/img_MSV.jpg,ONG.PT
MDV - Movimento de Defesa da Vida,217994530,geral@mdvida.pt,http://www.mdvida.pt,"Rua da Beneficência, nº7 1050 - 034 Lisboa",,,,,500929041,,https://ong.pt/dir/images/sobipro/entries/435/img_MDV.jpg,ONG.PT
Liga Portuguesa Profilaxia Social,223324445,prosaude@lpps.pt,http://www.lpps.pt,"Rua Sta. Catarina, 108 - 1º/ 2º Andar 4000-442 Porto",,,,,501136576,,https://ong.pt/dir/images/sobipro/entries/431/img_LPPS.jpg,ONG.PT
Liga Portuguesa Profilaxia Social,223324445,prosaude@lpps.pt,http://www.lpps.pt,"Rua Sta. Catarina, 108 - 1º/ 2º Andar 4000-442 Porto",,,,,501136576,,https://ong.pt/dir/images/sobipro/entries/431/img_LPPS.jpg,ONG.PT
Associação Betel,225502832,beteloporto@hotmail.com,http://www.betelportugal.org,"Rua Antero de Quental, nº 240, 4050-051 Porto",,,,,503694525,,https://ong.pt/dir/images/sobipro/entries/420/img_Associação Betel.jpg,ONG.PT
ADAV - Associação de Defesa e Apoio da Vida - Coimbra,239820000,adavcoimbra@gmail.com,http://www.adav.coimbradigital.net,"Rua Lourenço Almeida Azevedo n.º 27, r./c.  3000-250 COIMBRA",,,,,504348914,,https://ong.pt/dir/images/sobipro/entries/380/img_ADAV.jpg,ONG.PT
A Beneficente - Póvoa de Varzim,252690730,geral@abeneficente.pt,http://www.abeneficente.pt,"Rua Fernando Barbosa, 87, 4490-635 Póvoa de Varzim",,,,,501406271,,https://ong.pt/dir/images/sobipro/entries/370/img_a beneficente - póvoa de varzim.jpg,ONG.PT
AMCV - Associação de Mulheres Contra a Violência,213802160,sede@amcv.org.pt,http://www.amcv.org.pt,"Rua João Villaret, nº9  1000 -182 Lisboa",,,,,503226408,,https://ong.pt/dir/images/sobipro/entries/353/img_amcv.png,ONG.PT
Santa Casa da Misericórdia de Mora,266439030,geral@scmmora.pt,http://www.scm-mora.org.pt,Rua São João de Deus 7490 MORA,,,,,500848599,,https://ong.pt/dir/images/sobipro/entries/348/img_SCMM.jpg,ONG.PT
Memórias e Gentes - Associação Humanitária,961979796,memoegentes@gmail.com,http://www.memoriasegentes.org,"Rua Prof. Guilherme Tomé, Apartado 45 , 3046-801 , Coimbra",,,,,508343461,,https://ong.pt/dir/images/sobipro/entries/336/img_memórias e gentes.jpg,ONG.PT
CIDAC - Centro de Intervenção para o Desenvolvimento Amílcar Cabral,213172860,cidac@cidac.pt,http://www.cidac.pt,"R. Tomás Ribeiro, 3-9 , 2º Esq , 1050-225 , Lisboa",,,,,501147942,,https://ong.pt/dir/images/sobipro/entries/334/img_cidac.gif,ONG.PT
Cáritas Portuguesa,218454220,caritas@caritas.pt,http://www.caritas.pt,"Praça Pasteur, n.º 11 , 2º esq , 1000-238 , Lisboa",,,,,500291756,,https://ong.pt/dir/images/sobipro/entries/332/img_caritas.jpg,ONG.PT
Cáritas Portuguesa,218454220,caritas@caritas.pt,http://www.caritas.pt,"Praça Pasteur, n.º 11 , 2º esq , 1000-238 , Lisboa",,,,,500291756,,https://ong.pt/dir/images/sobipro/entries/332/img_caritas.jpg,ONG.PT
ATLAS - Associação de Cooperação para o Desenvolvimento,239781332,info@atlaspeople.net,http://www.atlaspeople.net,"Rua General Humberto Delgado, n.º 139-A , 2.º esq , 3030-327 , Coimbra",,,,,508425913,,https://ong.pt/dir/images/sobipro/entries/330/img_atlas.jpg,ONG.PT
ATA - Associação Tropical Agrária,213565787,atagraria@gmail.com,http://www.atagraria.wordpress.com,"Rua Gregório Lopes, Lote 1515 , 6º Dto , 1400-195 , Lisboa",,,,,506748499,,https://ong.pt/dir/images/sobipro/entries/329/img_ata.jpg,ONG.PT
Associação PAR – Respostas Sociais,217500493,info@par.org.pt,http://www.par.org.pt,"TecLabs – Centro de Inovação do Campus da Fac. de Ciências , Univ. Lisboa , Campo Grande , 1749-016 , Lisboa",,,,,503397130,,https://ong.pt/dir/images/sobipro/entries/328/img_par.png,ONG.PT
APDES - Agência Piaget para o Desenvolvimento,227531106/7,info@apdes.pt,http://www.apdes.pt,"Alameda Jean Piaget nº 100 Apartado 1523 , 4411-801 , Arcozelo - V. N. Gaia",,,,,510414923,,https://ong.pt/dir/images/sobipro/entries/326/img_apdes.jpg,ONG.PT
AJAP – Associação de Jovens Agricultores de Portugal,213244970,ajap@ajap.pt,http://www.ajap.pt,"Rua D. Pedro V, 108 – 2º Andar 1269-128 Lisboa",,,,,501396934,,https://ong.pt/dir/images/sobipro/entries/324/img_ajap.jpg,ONG.PT
ADRA Portugal – Associação Adventista para o Desenvolvimento Recursos e Assistência,213580535,info@adra.org.pt,http://www.adra.org.pt,"Rua Ilha Terceira, nº3 – 3º 1000-171 Lisboa",,,,,504534181,,https://ong.pt/dir/images/sobipro/entries/323/img_adra.jpg,ONG.PT
AD GENTES – Associação Leigos Missionários da Consolata,214260510,geral@adgentes.org.pt,http://www.adgentes.org.pt,Av. Cidade de Lisboa - Quinta do Castelo Cacém  2735 - 206 Cacém,,,,,508313554,,https://ong.pt/dir/images/sobipro/entries/322/img_ad agentes.jpg,ONG.PT
APAV- Apoio à vitivima,213587900,apav.sede@apav.pt,http://www.apav.pt,"Rua José Estêvão, 135 A, Pisos 1/2 1150-201 Lisboa",,,,,502547952,,https://ong.pt/dir/images/sobipro/entries/321/img_apav.jpg,ONG.PT
APAV- Apoio à vitivima,213587900,apav.sede@apav.pt,http://www.apav.pt,"Rua José Estêvão, 135 A, Pisos 1/2 1150-201 Lisboa",,,,,502547952,,https://ong.pt/dir/images/sobipro/entries/321/img_apav.jpg,ONG.PT
ISU – Instituto de Solidariedade e Cooperação Universitária,213957831,geral@isu.pt,http://www.isu.pt,"Rua Maria Alice, nº 9 1750-360 Lisboa",,,,,502690453,,https://ong.pt/dir/images/sobipro/entries/320/img_isu.jpg,ONG.PT
HELPO,211537687,recrutamento@helpo.pt / sofianobre@helpo.pt,http://www.helpo.pt,"Rua Catarina Eufémia, Fontaínhas,  2750-318 Cascais",,,,,507136845,,https://ong.pt/dir/images/sobipro/entries/318/img_helpo.jpg,ONG.PT
