DENOMINAÇÃO,MORADA,CONCELHO,DISTRITO,FORMA JURÍDICA,ANO REGISTO,NIPC
O Moleirinho - Centro Social e Cultural de Vale Domingos,"Vale Domingos - Freguesia de
Águeda",Águeda,Aveiro,Associação,1996,503517631
"O Mágico - Centro de Apoio Social, Cultural e Recreativo",Giesteira,Águeda,Aveiro,Associação,1996,503353221
Os Pioneiros - Associação de Pais de Mourisca do Vouga,Mourisca do Vouga - Freg. de Trofa,Águeda,Aveiro,Associação,1987,501821112
Paraíso Social de Aguada de Baixo,Freguesia Aguada Baixo,Águeda,Aveiro,Associação,1993,503336718
Patronato de Nossa Senhora das Dores,Travassó,Águeda,Aveiro,"Instituto de
Organização
Religiosa",1986,500884790
Santa Casa da Misericórdia de Águeda,Águeda,Águeda,Aveiro,Misericórdia,1983,500766789
Canteiro de S. Francisco - Instituição Particular de Solidariedade Social,"(Prov.) Village Altavila, Ala dois - 1º
Esq.",Águeda,Aveiro,Associação,1999,504192710
Academia Portuguesa de Cultura e Solidariedade de Águeda - A.P.C.S.A.,"Rua Doutor Manuel Alegre, n.º 20",Águeda,Aveiro,Associação,1999,504641891
Srª.da Esperança - Centro Social Cultural e Recreativo de A-dos-Ferreiros,"A-dos-Ferreiros, freguesia de
Préstimo",Águeda,Aveiro,Associação,1999,504918850
"Fundação Nossa Senhora da Conceição da Freguesia de Valongo do
Vouga","Arrancada do Vouga, Freg. de
Valongo do Vouga",Águeda,Aveiro,Fundação,2000,506083268
Centro Social Arco Íris,"Lugar de Paradela, freguesia de
Espinhel",Águeda,Aveiro,Associação,2002,504422251
Associação Baptista de Águeda Shalom,(provisória) Rua 5 de Outubro nº. 40,Águeda,Aveiro,Associação,2002,505101734
Associação Cultural dos Surdos de Águeda,Águeda,Águeda,Aveiro,Associação,2003,505141078
Centro Social Cultural e Recreativo de Crastovães,"Rua da Fonte, lugar de Crastovães,
Freg. de Trofa",Águeda,Aveiro,Associação,2004,503167509
Centro Social de Agadão,"Lugar da Guistolinha, freguesia de
Agadão",Águeda,Aveiro,Associação,2004,506604403
Associação Social Dar a Mão de Lamas do Vouga,"Rua da Costa, N.º 18",Águeda,Aveiro,Associação,2008,508263433
Associação Sócio-Cultural e Recreativa de S. Martinho,"Lugar de S. Martinho, freguesia de
Agueda de Cima",Águeda,Aveiro,Associação,2008,501960724
"União Concelhia das Instituições Particulares de Solidariedade Sococial de
Águeda - UCIPSS - Leiria","Mercado Municipal, R.Padre Miguel
José Cruz,sala 4",Águeda,Aveiro,Associação,2011,509568149
Património dos Pobres da Freguesia de Águeda,"Paróquia de Águeda Concelho de
Águeda",Águeda,Aveiro,"Instituto de
Organização
Religiosa",2012,502491280
Fundação Isabel Domingues,"Lugar de Pinheiro Manso, Recardães",Águeda,Aveiro,Fundação,2014,513145710
Fundação Comendador António Soares Almeida Roque e Família,"Rua António da Silva Brinco, no Alto
de S. Pedro",Águeda,Aveiro,Fundação,2016,514083905
Associação de Infância D.Teresa,Albergaria - a - Velha,"Albergaria-a-
Velha",Aveiro,Associação,1987,501662588
Associação de Solidariedade Social de Alquerubim,Alquerubim,"Albergaria-a-
Velha",Aveiro,Associação,1994,503489751
Cediara - Centro Dia para Idosos Ribeira de Fráguas,"Lugar da Igreja - Freguesia de
Ribeira de Fráguas","Albergaria-a-
Velha",Aveiro,Associação,1996,503817201
Centro Social Paroquial de Albergaria-a-Velha,Albergaria-a-Velha,"Albergaria-a-
Velha",Aveiro,"Centro Social
Paroquial",1983,509461620
Centro Social Paroquial de Angeja,Praça da República nº 3 - Angela,"Albergaria-a-
Velha",Aveiro,"Centro Social
Paroquial",1990,502658762
Centro Social Paroquial de S.Vicente da Branca,Branca,"Albergaria-a-
Velha",Aveiro,"Centro Social
Paroquial",1988,502620404
Creche de Helena de Albuquerque Quadros,Rua Fernando dos Santos,"Albergaria-a-
Velha",Aveiro,Fundação,1989,502278552
Pobranca - Associação para o Desenvolvimento Sócio e Cultural da Branca,Lugar de Branca,"Albergaria-a-
Velha",Aveiro,Associação,1990,501826815
Santa Casa da Misericórdia de Albergaria-a-Velha,Albergaria - a - Velha,"Albergaria-a-
Velha",Aveiro,Misericórdia,1982,501598839
Associação Humanitária Mão Amiga,"Avª. Bernardino Máximo de
Albuquerque, nº. 35","Albergaria-a-
Velha",Aveiro,Associação,1999,504413040
Centro Social Paroquial de Santa Eulália de Vale Maior,freguesia de Vale Maior,"Albergaria-a-
Velha",Aveiro,"Centro Social
Paroquial",2002,506025543
"APPACDM de Albergaria-a-Velha - Associação Portuguesa de Pais e
Amigos do Cidadão Deficiente Mental","Rua da Cavada, Lugar de Soutelo
Freguesia Branca","Albergaria-a-
Velha",Aveiro,Associação,2004,506563871
Associação de Solidariedade Social Sanjoanense - ASSS,"Rua da Escola, freg. de S. João de
Loure","Albergaria-a-
Velha",Aveiro,Associação,2005,506725529
Associação de Pais e Amigos das Crianças de Certoma e Levira,Freguesia de Sangalhos,Anadia,Aveiro,Associação,1988,970289529
Associação Social de Avelãs do Caminho,Avelãs do Caminho,Anadia,Aveiro,Associação,1992,503339350
Centro Cultural e Recreativo de Poutena,"Freg.de Vilarinho do Bairro -
Poutena",Anadia,Aveiro,Associação,1988,501601210
Centro de Apoio Social de Vila Nova de Monsarros,"Lugar e Freguesia de Vila Nova de
Monsarros",Anadia,Aveiro,Associação,1995,503498955
Centro Social Maria Auxiliadora de Mogofores,Lugar e freguesia de Mogofores,Anadia,Aveiro,Associação,1987,501670467
Centro de Bem Estar Social da Freguesia de Tamengos,"Rua das Palmeiras, Freguesia de
Tamengos",Anadia,Aveiro,Associação,1994,506522652
Centro Social Cultural e Recreativo de Paredes do Bairro,"Paredes do Bairro - S.Lourenço do
Bairro",Anadia,Aveiro,Associação,1982,501202323
Centro Social Cultural Nossa Senhora do Ó de Aguim,Lugar de Aguim - Tamengos,Anadia,Aveiro,Associação,1983,501219625
Centro Social Cultural e Recreativo de Avelãs de Cima,"Lugar de São Pedro - Avelãs de
Cima",Anadia,Aveiro,Associação,1982,501202315
Centro Social da Anadia,Anadia,Anadia,Aveiro,Associação,1993,501190198
Centro Social de São José de Cluny,Lugar de Famalicão - Freg. de Arcos,Anadia,Aveiro,"Instituto de
Organização
Religiosa",1985,500886334
Centro Social Paroquial da Moita de Anadia,"Rua Poeta Cavador,n.º 16",Anadia,Aveiro,"Centro Social
Paroquial",1986,501163476
Centro Social Recreativo e Cultural de Pedralva,"Lugar de Pedralva, Freguesia de
S.Lourenço Bairro",Anadia,Aveiro,Associação,1994,503236519
"Liga dos Amigos de Samel - Associação Cultural Recreativa e de
Solidariedade Social",Freguesia de Vilarinho do Bairro,Anadia,Aveiro,Associação,1993,502807512
Santa Casa da Misericórdia de Anadia,Anadia,Anadia,Aveiro,Misericórdia,1983,501229574
Misericórdia da Freguesia de Sangalhos,Sangalhos,Anadia,Aveiro,Misericórdia,1985,501066101
"APPACDM DE ANADIA- Associação Portuguesa de Pais e Amigos do
Cidadão Deficiente Mental","Cavadas, Lugar e freguesia de
Avelãs de Caminho",Anadia,Aveiro,Associação,2002,504646680
"Clube de Ancas - Associação de Solidariedade Social, Recreio, Formação e
Cultura","Freguesia de Ancas - Concelho de
Anadia",Anadia,Aveiro,Associação,2007,501973583
Associação Amigos do Parque e Jardim Santo António,"Santo Ant_nio - Freguesia de Santa
Eulãlia",Arouca,Aveiro,Associação,1981,501167366
Associação para a Integração de Crianças Inadaptadas de Arouca,Vila e Concelho de Arouca,Arouca,Aveiro,Associação,1990,502096756
Associação de Melhoramentos da Freguesia de Albergaria da Serra,Albergaria da Serra,Arouca,Aveiro,Associação,1988,501843213
Centro Paroquial de Promoção Social Rainha Santa Mafalda,Arouca,Arouca,Aveiro,"Centro Social
Paroquial",1983,501067566
Jardim de São José,Alvarenga,Arouca,Aveiro,Fundação,1989,502107286
Santa Casa da Misericórdia de Arouca,Arouca,Arouca,Aveiro,Misericórdia,1988,501289623
Centro Social Paroquial de S. Salvador do Burgo de Arouca,Freguesia de S. Salvador do Burgo,Arouca,Aveiro,"Centro Social
Paroquial",1999,504441949
Centro de Solidariedade Social e Cultural de Fermedo,"Freguesia de Fermedo,",Arouca,Aveiro,Associação,1999,504293990
Centro Social de Chave,"Casal, Chave - Arouca",Arouca,Aveiro,Associação,2001,504633384
C.S.S.C.M. - Centro Social Santa Cristina de Mansores,"Lugar do Casal, Freguesia de
Mansores",Arouca,Aveiro,Associação,2005,505402467
Centro Social de Canelas - Arouca,"Lugar de Baixo, freguesia de
Canelas",Arouca,Aveiro,Associação,2007,506365492
Centro Social de Rossas,"Lugar do Passo, freguesia de
Rôssas",Arouca,Aveiro,Associação,2007,507079760
Centro Social de Tropeço,Ferreiros Freguesia de Tropeço,Arouca,Aveiro,Associação,2007,507986130
Associação de Melhoramentos de Eixo,"Rua Avelino Dias de Figueiredo, n.º
52/54",Aveiro,Aveiro,Associação,1998,501654003
Associação Social e Cultural da Terceira Idade e do Autodidacta de Aveiro,"R. Conego Maio Nº. 133 - Freguesia
de Sao Benardo",Aveiro,Aveiro,Associação,1997,503962090
Associação de Assistência de Eixo,Freguesia do Eixo,Aveiro,Aveiro,Associação,1987,500874760
Associação Solidariedade e Acção Social - Asas Santa Joana,"Caminho de Grinelândia - Santa
Joana",Aveiro,Aveiro,Associação,1994,503381241
Banco Alimentar Contra a Fome de Aveiro,"Travessa do Mercado, Nº. 5 - 1º
Esqº. -",Aveiro,Aveiro,Associação,1997,504200305
Centro Académico de Fé e Cultura,"Avª. Padre Fernão de Oliveira,
Freguesia da Glória",Aveiro,Aveiro,"Instituto de
Organização
Religiosa",1989,502204451
"Centro Comunitário Paroquial de Assistência e Formação de S.Pedro de
Aradas",Aradas,Aveiro,Aveiro,"Centro Social
Paroquial",1986,501148183
Centro Comunitário da Vera - Cruz,"Rua de Sá, n.º 5",Aveiro,Aveiro,Associação,1996,503611301
Centro de Formação e Cultura da Costa do Valado,"Costa do Valado - Freg. de
Oliveirinha",Aveiro,Aveiro,Associação,1987,501796754
Centro de Infância Arte e Qualidade,"Hospital Distrital de Aveiro - Rua
Artur Ravara",Aveiro,Aveiro,Associação,1981,501114378
Centro Paroquial de São Bernardo,Largo da Igreja,Aveiro,Aveiro,"Centro Social
Paroquial",1983,500907560
Centro Social de Azurva,Azurva - Freguesia do Eixo,Aveiro,Aveiro,Associação,1981,501714090
Centro Social de Esgueira,"Rua General Costa Cascais, Nºs. -
142, 144, 146",Aveiro,Aveiro,Associação,1987,501554114
Centro Social de Santa Joana Princesa,Paróquia de Santa Joana Princesa,Aveiro,Aveiro,Associação,1982,501144676
Fundação CESDA - Centro Social do Distrito de Aveiro,"Lugar do Paço - Freguesia de
Esgueira",Aveiro,Aveiro,"Instituto de
Organização
Religiosa",1986,501136673
Centro Social Paroquial de Cacia,Cacia,Aveiro,Aveiro,"Centro Social
Paroquial",1988,502477261
Centro Social Paroquial de Nossa Senhora de Fátima,"Freguesia de Nossa Senhora de
Fatima",Aveiro,Aveiro,"Centro Social
Paroquial",1987,501776621
Centro Social Paroquial de Santa Eulália de Eirol,Eirol,Aveiro,Aveiro,"Centro Social
Paroquial",1998,503422746
Centro Social Paroquial de Santo André de Esgueira,Freguesia de Esgueira,Aveiro,Aveiro,"Centro Social
Paroquial",1993,502988045
Centro Social Paroquial de São Jacinto,S.Jacinto,Aveiro,Aveiro,"Centro Social
Paroquial",1989,501944575
Centro Social Paroquial da Vera Cruz,Rua do Gravito - Vera Cruz,Aveiro,Aveiro,"Centro Social
Paroquial",1984,501426884
Centro Social Paroquial de S. Pedro de Nariz,Freguesia de Nariz,Aveiro,Aveiro,"Centro Social
Paroquial",1986,501771760
Crevi - Núcleo Cultural e Recreativo de Vilar,Freguesia da Glória,Aveiro,Aveiro,Associação,1982,501810242
Cáritas Diocesana de Aveiro,"R.Jose Estevão, 50",Aveiro,Aveiro,"Instituto de
Organização
Religiosa",1983,501163964
Florinhas do Vouga,"Praceta das Florinhas do Vouga, n.º
10",Aveiro,Aveiro,"Instituto de
Organização
Religiosa",1985,501156577
Fundação Padre Félix,"Rua do Barro, n.º 24",Aveiro,Aveiro,"Instituto de
Organização
Religiosa",1993,502255897
Fundação Roeder,São Jacinto - Aveiro,Aveiro,Aveiro,Fundação,1991,500122296
Patronato de Nossa Senhora de Fátima,Lugar de Vilar - Freguesia de Glória,Aveiro,Aveiro,"Instituto de
Organização
Religiosa",1983,501404368
Santa Casa da Misericórdia de Aveiro,Aveiro,Aveiro,Aveiro,Misericórdia,1986,500852073
Associação de Solidariedade Social Casa Mãe de Aradas,"Viela de Arrotas, nº. 3 - A - Freg.
Aradas",Aveiro,Aveiro,Associação,2000,509542700
Associação Comunitária de Solidariedade Social da Freguesia de Requeixo,Freguesia de Requeixo,Aveiro,Aveiro,Associação,2000,504403958
"Centro Social Cultural e Desportivo do Pessoal da Segurança Social e
Saúde do Distrito de Aveiro","Rua Dr. Alberto Souto, nº. 9 e 9-A-
Fg. Vera Cruz",Aveiro,Aveiro,Associação,2001,501388737
Centro de Alcoólicos Recuperados do Distrito de Aveiro,Freguesia da Glória - Aveiro,Aveiro,Aveiro,Associação,2001,504437127
Associação Participar,"(Provisória) Rua Jaime Moniz -
Edifício Pavilhão",Aveiro,Aveiro,Associação,2001,504354906
"APPACDM de Aveiro - Associação Portuguesa de Pais e Amigos do
Ciddadão Deficiente Mental","Rua Padre Luís Pereira, n.º 1,
Azurva",Aveiro,Aveiro,Associação,2002,504646699
"UDIPSS -Aveiro - União Distrital das Instituições Particulares de
Solidariedade Social de Aveiro","Rua de S. Martinho nº. 18 , 1º. B -
Aveiro",Aveiro,Aveiro,Associação,2003,506126773
MELHORTAIPA - Associação de Melhoramentos e Solidariedade daTaipa,"Lugar da Taipa, Freguesia de
Requeixo",Aveiro,Aveiro,Associação,2004,505695413
ADAV - Associação de Defesa e Apoio da Vida - Aveiro,Trav. do Governo Civil nº 4 Aveiro,Aveiro,Aveiro,Associação,2004,505085615
"Fundação Casa do Pessoal da Segurança Social e da Saúde do Distrito
Aveiro","Rua Dr. Alberto Souto, N.º 5 -
R/Chão",Aveiro,Aveiro,Fundação,2009,509268749
Liga dos Amigos do Hospital Distrital de Aveiro (LAHDA),Avª. Artur Ravara,Aveiro,Aveiro,Associação,2013,502260971
Missão Saúde para a Humanidade,"Universidade de Aveiro, Pavilhão 1",Aveiro,Aveiro,Associação,2014,509521452
Associação Os Salineiros - Associação Aveirense Para a Educação Activa,"Travessa do Capitão Lebre, n.º 1 -
Verdemilho",Aveiro,Aveiro,Associação,2016,513289879
Associação Reformados Pensionistas Idosos Pedorido,Pedorido,"Castelo de
Paiva",Aveiro,Associação,1995,502605634
Centro Social do Couto de Mineiro do Pejão,Oliveira do Arda - Raiva,"Castelo de
Paiva",Aveiro,Associação,1981,501124314
Centro Social Paroquial de Bairros,Bairros,"Castelo de
Paiva",Aveiro,"Centro Social
Paroquial",1986,503633348
Centro Social Paroquial do Sobrado,Sobrado,"Castelo de
Paiva",Aveiro,"Centro Social
Paroquial",1991,502312874
Santa Casa da Misericórdia de Castelo de Paiva,Castelo de Paiva,"Castelo de
Paiva",Aveiro,Misericórdia,1989,501719121
Centro Social de Santa Maria de Sardoura,"Quinta da Devesa - Santa Maria de
Sardoura","Castelo de
Paiva",Aveiro,Associação,2001,504650939
"Associação de Solidariedade Social de Bairros ""Os Cucos""","S. Lourenço, freguesia de Bairros","Castelo de
Paiva",Aveiro,Associação,2001,504914987
Centro Social de Real,"Adro, freguesia de Real","Castelo de
Paiva",Aveiro,Associação,2004,506244830
Associação dos Familiares das Vítimas da Tragédia de Entre-os Rios,"Lugar de Oliveira do Arda, freguesia
da Raiva","Castelo de
Paiva",Aveiro,Associação,2004,506000915
"APPACDM de Castelo de Paiva - Associação Portuguesa de Pais e Amigos
do Cidadão Deficiente Mental","Quinta dos Lameirinhos, Lugar de
Sabariz","Castelo de
Paiva",Aveiro,Associação,2004,505700999
Centrum F Centro de Solidariedade Social de Fornos,Cêpa - Freguesia de Fornos,"Castelo de
Paiva",Aveiro,Associação,2005,509879500
"ASTOC - Assciação Solidariedade Social Profissional Contabidade Econ.
Gest. Auditoria",Rua Professor Egas Moniz,"Castelo de
Paiva",Aveiro,Associação,2010,508365333
"Associação Social Cultural e Recreativa de S. Gonçalo de Nojões, ASCRN","Lugar de Nojões, freguesia de Real","Castelo de
Paiva",Aveiro,Associação,2011,509154670
Associação para a Promoção Social e Profissional de Castelo de Paiva,"Rua José Estevão,","Castelo de
Paiva",Aveiro,Associação,2011,507144805
Centro Social Sol Nascente - Castelo de Paiva,Lugar de Santo Ildefonso,"Castelo de
Paiva",Aveiro,Associação,2012,503876542
Centro Social e Cívico Viver S. Martinho,Lugar de Casas Novas,"Castelo de
Paiva",Aveiro,Associação,2017,510945856
Centro Social de Paramos,Lugar da Junqueira - Paramos,Espinho,Aveiro,Associação,1985,501086803
Centro Social Paroquial de São Tiago de Silvalde,Paróquia de Silvalde,Espinho,Aveiro,"Centro Social
Paroquial",1990,502275570
Santa Casa da Misericórdia de Espinho,Espinho,Espinho,Aveiro,Misericórdia,1982,500951527
Liga dos Amigos do Hospital Distrital de Espinho,"Hospital Distrital de Espinho - Rua
37",Espinho,Aveiro,Associação,1994,503093718
A.D.E. - Associação de Diabéticos de Espinho,"R. S.Martinho Anta, Largo da Igreja -
Anta-Espinho",Espinho,Aveiro,Associação,1999,504558331
Associação Social e Desenvolvimento da Vila de Anta,"Rua do Meio, N.º 96",Espinho,Aveiro,Associação,2002,509368654
Associação Missionária Cristo é a Solução,"Rua 12, nº 1243",Espinho,Aveiro,Associação,2012,510029485
"ADIGESTA-Associação para o Desenvolvimento Integral e Global de
Estarreja","(Prov) Edif.Casa Cultura - Praça
Francisco Barbosa",Estarreja,Aveiro,Associação,1992,502610190
Associação da Quinta do Rezende,"Casa da Quinta do Resende,
Freguesia de Pardilho",Estarreja,Aveiro,Associação,1998,503260096
Associação Humanitária de Salreu,Salreu,Estarreja,Aveiro,Associação,1994,502853590
Associação Vida Nova - Lar de Idosos,Rua das Agras - Pardilhó,Estarreja,Aveiro,Associação,1994,502664061
Centro Paroquial de Assistência da Freguesia de Pardilhó,Pardilhó,Estarreja,Aveiro,"Centro Social
Paroquial",1985,501162119
Centro Paroquial Social de Santa Marinha de Avanca,Paróquia de Avanca,Estarreja,Aveiro,"Centro Social
Paroquial",1985,501283315
Centro Social Paroquial de São Miguel de Fermelã,Paróquia da Fermelã,Estarreja,Aveiro,"Centro Social
Paroquial",1982,501536167
Centro Social Paroquial de São Tomé de Canelas,Canelas,Estarreja,Aveiro,"Centro Social
Paroquial",1989,502102004
Fundação Benjamim Dias Costa,Avanca,Estarreja,Aveiro,Fundação,1984,500867852
Santa Casa da Misericórdia de Estarreja,Estarreja,Estarreja,Aveiro,Misericórdia,1986,500875910
Centro Social de Apoio a Toxicodependentes - Convívios Fraternos II,Vila de Avanca,Estarreja,Aveiro,Associação,1994,503298689
Associação de Solidariedade Social Filantrópica Veirense,"Rua Miguel Valente de Almeida, nº
24",Estarreja,Aveiro,Associação,1999,501546707
ASE - Associação de Solidariedade Estarrejense,"Freguesia de Beduído, concelho de
Estarreja",Estarreja,Aveiro,Associação,2000,500858250
Fundação Cónego Filipe de Figueiredo,"Bombeiros Voluntário,Piso 1-
R.Dr.Manuel Andrade,4",Estarreja,Aveiro,Fundação,2005,507056000
Associação de Bem Estar de Santa Maria de Lamas,"Stª. Maria de Lamas - Lugar da
Igreja","Santa Maria da
Feira",Aveiro,Associação,1988,501846840
Associação do Centro Social de Escapães,"Lugar da Igreja - Freguesia de
Escapães","Santa Maria da
Feira",Aveiro,Associação,1981,501168915
Associação de Apoio Social de Sanfins,Gândara - Freguesia de Sanfins,"Santa Maria da
Feira",Aveiro,Associação,1993,502694912
Associação Particular de Solidariedade Social Padre Osório,Freguesia de Pigeiros,"Santa Maria da
Feira",Aveiro,Associação,1995,503307408
Casa de Nossa Senhora do Sameiro,S.Paio de Oleiros,"Santa Maria da
Feira",Aveiro,"Instituto de
Organização
Religiosa",1985,502811595
Centro de Apoio Social de Mozelos,Lugar da Igreja - Mozelos,"Santa Maria da
Feira",Aveiro,Associação,1984,501498117
Centro de Assistência Social àTerceira Idade e Infância de Sanguedo,Lugar da Igreja - Sanguedo,"Santa Maria da
Feira",Aveiro,Associação,1981,501237127
Centro Paroquial de Santo André de Mosteiró,Freguesia de Mosteiró,"Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1991,502419377
Centro Paroquial e Social de São Mamede de Travanca,Travanca,"Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1998,504057243
Centro Social de São Tiago de Lobão,Lugar da Igreja - Lobão,"Santa Maria da
Feira",Aveiro,Associação,1989,502248459
Centro Social de Lourosa,Rua Dr. Clemente,"Santa Maria da
Feira",Aveiro,Associação,1991,501120904
Centro Social de Paços de Brandão,"Casa Veríssimo - Lug. Lourosa -
Paços de Brandão","Santa Maria da
Feira",Aveiro,Associação,1983,501379010
Centro Social de Santa Cruz,Santa Maria da Feira,"Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1987,501785450
Centro Social de Santa Maria de Fiães,"Lugar de Chão do Rio, freguesia de
Fiães","Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1987,501274871
Centro Social de Souto,Lugar do Padrão,"Santa Maria da
Feira",Aveiro,Associação,1981,501331816
Centro Social Dr. Crispim Teixeira Borges de Castro,Milheirós de Poiares,"Santa Maria da
Feira",Aveiro,Associação,1981,501236937
Centro Social Padre José Coelho,Fiães,"Santa Maria da
Feira",Aveiro,Associação,1982,502389800
Centro Social Paroquial de Argoncilhe,"Rua do Centro Social, 120","Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1983,501231943
Centro Social Paroquial de Romariz,Romariz,"Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1987,501780130
Centro Social Paroquial de Arrifana,"Rua Prof. Vicente Reis, n.º 434 -
Arrifana","Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1989,501901779
Centro Social Paroquial de Fiães,Fiães,"Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1988,501929606
Centro Social Paroquial de Fornos,"Rua da Igreja, n.º 627, Fornos","Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1988,502317710
Centro Social Paroquial de Sanfins,Sanfins,"Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1987,501205527
Centro Social Paroquial de Santa Maria da Feira,"Rua Centro Social, n.º 16 , Remolha","Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1988,501829741
Centro Social Paroquial de São Jorge,"Avenida da Igreja, n.º 56","Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1983,502405252
Centro Social Paroquial do Vale,"Avenida da Igreja, n.º 1341","Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1995,503329444
Centro Social Primavera,"Lugar de Beire - Freg. de S. João de
Vêr","Santa Maria da
Feira",Aveiro,Associação,1993,502759380
Centro Social de S. Cristóvão de Nogueira da Regedoura,"Rua da Barra, n.º 94","Santa Maria da
Feira",Aveiro,Associação,1992,502837438
Centro Social Vilamaiorense,Lugar do Padrão - Vila Maior,"Santa Maria da
Feira",Aveiro,Associação,1992,502023520
"Centro Social, Cultural e Recreativo de Louredo","Rua Domingos Gomes Ferreira,
Freguesia de Louredo","Santa Maria da
Feira",Aveiro,Associação,1997,503712965
Fundação Comendador Joaquim de Sá Couto,S. Paio de Oleiros,"Santa Maria da
Feira",Aveiro,Fundação,1984,500876827
Movimento de Apoio Social a São Paio de Oleiros,Lugar da Igreja - S. Paio de Oleiros,"Santa Maria da
Feira",Aveiro,Associação,1985,501409831
"Movimento de Assistência, Cultura, Urbanismo e Recreio",Freguesia de Rio Meão,"Santa Maria da
Feira",Aveiro,Associação,1989,500872260
O Abrigo - Centro de Solidariedade Social de S.João de Vêr,Freguesia de São João de Ver,"Santa Maria da
Feira",Aveiro,Associação,1989,502106654
O Jardim - Centro de Solidariedade Social de Canedo,"Largo Padre agostinho Pais Moreira,
n.º 30","Santa Maria da
Feira",Aveiro,Associação,1994,503516082
"Pelo Prazer de Viver / Saúde Cultura e Vida - Associação de
Desenvolvimento Social",Rua de Santa Luzia nº 85,"Santa Maria da
Feira",Aveiro,Associação,1995,503268399
"Por do Sol - Centro Social, Cultural e Desportivo de Mosteiró - Feira",Mosteiró - Feira,"Santa Maria da
Feira",Aveiro,Associação,1992,501836322
Santa Casa da Misericórdia de Santa Maria da Feira,Santa Maria da Feira,"Santa Maria da
Feira",Aveiro,Misericórdia,1990,502241217
Liga dos Amigos do Hospital.Nossa Senhora da Saúde de S. Paio de Oleiros,"Hospital Nª. Srª. Saúde de São Paio
de Oleiros","Santa Maria da
Feira",Aveiro,Associação,1997,503501360
Centro Social de Gião,"Lugar da Beira, Freguesia de Gião","Santa Maria da
Feira",Aveiro,Associação,1999,503315176
Centro Social Paroquial de S. João de Ver,Freguesia de S. João de Ver,"Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",1986,501689338
Centro Paroquial e Social de S. Tiago de Espargo,Freguesia de Espargo,"Santa Maria da
Feira",Aveiro,"Centro Social
Paroquial",2001,505304929
