nome,objeto_da_organizacao,nif,morada,telefone,email,site,logotipo
"Tree Institute - Associação para o Desenvolvimento Económico, Social e Humano","Apoiar a criação de projectos empresariais, tecnológicos e sociais. Criar e implementar programas de desenvolvimento económico, social e cultural.",510099920,Rua dos Inventores 2824 - 182 Caparica,210438600,geral@tree-institute.org,http://www.tree-institute.org,https://ong.pt/dir/images/sobipro/entries/928/img_Tree Institute.jpg
FLAD - Fundação Luso-Americana para o Desenvolvimento,"Desenvolver Portugal, através do apoio financeiro e estratégico e do incentivo à cooperação entre a sociedade civil Portuguesa e Americana.",501526307,"Rua Sacramento à Lapa, 21 1249-090 Lisboa",213935800,fladport@flad.pt,http://www.flad.pt,https://ong.pt/dir/images/sobipro/entries/926/img_Fundação Luso-Americana.jpg
Associação Máquina do Mundo,"Assistência Humanitária, diálogo intercultural e apoio a imigrantes  e promoção da língua e culturas portuguesas.",509216579,"Rua Jau, 23 5ºEsq. 1300-311 LISBOA",214751420,geral@amm.org.pt,http://www.facebook.com/maquina.do.mundo,https://ong.pt/dir/images/sobipro/entries/924/img_Máquina do Mundo.jpg
ACEGE - Associação Cristã de Empresários e Gestores,"Inquietar e mobilizar as consciências das pessoas, divulgando valores partilhados pelos seus membros e a doutrina social da Igreja que os exprime.",504810510,"Rua Julieta Ferrão, 10 - 8º Dto. 1600-131 Lisboa",217941323,acege@acege.pt,http://www.acege.pt,https://ong.pt/dir/images/sobipro/entries/920/img_ACEGE.jpg
Fundação LIGA - Promoção da Funcionalidade Humana,"Dinamizar recursos especializados para apoiar as pessoas, contribuindo para o reconhecimento da diversidade humana.",504852728,Rua do Sitio ao Casalinho da Ajuda 1349 – 011 Lisboa Portugal,213616910,fundacaoliga@fundacaoliga.pt,http://www.fundacaoliga.pt,https://ong.pt/dir/images/sobipro/entries/919/img_Fundação Liga.jpg
APEA - Associação Portuguesa de Emprego Apoiado,"Generalização do modelo de Emprego, incrementando o  acesso ao mercado aberto de trabalho de pessoas em situação de desvantagem.",506738477,"CP5063, Rua 19, nº 13 – Quimiparque 2831-904 Barreiro",212064934,apea.secretariado@gmail.com,http://empregoapoiadopt.wordpress.com,https://ong.pt/dir/images/sobipro/entries/918/img_APEA - Associação Portuguesa de Emprego Apoiado.jpg
"Tree Institute - Associação para o Desenvolvimento Económico, Social e Humano","Apoiar a criação de de projectos empresariais, tecnológicos e sociais  e Criar e implementar programas de desenvolvimento económico, social e cultural",510099920,Rua dos Inventores 2824 - 182 Caparica,210438600,geral@tree-institute.org,http://www.tree-institute.org,"https://ong.pt/dir/images/sobipro/entries/892/img_Tree Institute - Associação para o Desenvolvimento Económico, Social e Humano.jpg"
FLAD - Fundação Luso-Americana para o Desenvolvimento,"Contribuir para o desenvolvimento de Portugal, através do apoio financeiro e estratégico a projectos inovadores.",501526307,"Rua Sacramento à Lapa, 21 1249-090 Lisboa",213935800,fladport@flad.pt,http://www.flad.pt,https://ong.pt/dir/images/sobipro/entries/890/img_FLAD - Fundação Luso-Americana para o Desenvolvimento.jpg
Associação Máquina do Mundo,"Assistência Humanitária,  Diálogo Intercultural e apoio a Imigrantes  e Promoção da Língua e Culturas portuguesas.",509216579,"RUA JAU, 23 5ºESQ. 1300-311 LISBOA",214751420,geral@amm.org.pt,http://www.facebook.com/maquina.do.mundo,https://ong.pt/dir/images/sobipro/entries/888/img_Associação Máquina do Mundo.jpg
Associação Máquina do Mundo,"Assistência Humanitária,  Diálogo Intercultural e apoio a Imigrantes  e Promoção da Língua e Culturas portuguesas.",509216579,"RUA JAU, 23 5ºESQ. 1300-311 LISBOA",214751420,geral@amm.org.pt,http://www.facebook.com/maquina.do.mundo,https://ong.pt/dir/images/sobipro/entries/888/img_Associação Máquina do Mundo.jpg
APEE - Associação Portuguesa de Ética Empresarial,Promover a Ética e a Responsabilidade Social nas empresas e outras organizações.,506320871,"rua dr. joão de moura, nº 47 3810-157 aveiro",234345503,apee@apee.pt,http://www.apee.pt,https://ong.pt/dir/images/sobipro/entries/885/img_APEE - Associação Portuguesa de Ética Empresarial.png
ACEGE - Associação Cristã de Empresários e Gestores,"Inquietar e mobilizar as consciências das pessoas, divulgando valores partilhados pelos seus membros e a doutrina social da Igreja que os exprime.",504810510,"Rua Julieta Ferrão, 10 - 8º Dto. 1600-131 Lisboa",217941323,acege@acege.pt,http://www.acege.pt,https://ong.pt/dir/images/sobipro/entries/884/img_ACEGE - Associação Cristã de Empresários e Gestores.jpg
Fundação LIGA - Promoção da Funcionalidade Humana,"Dinamizar recursos especializados para apoiar as pessoas, contribuindo para o reconhecimento da diversidade humana.",504852728,Rua do Sitio ao Casalinho da Ajuda 1349 – 011 Lisboa Portugal,213616910,fundacaoliga@fundacaoliga.pt,http://www.fundacaoliga.pt,https://ong.pt/dir/images/sobipro/entries/883/img_Fundação LIGA - Promoção da Funcionalidade Humana.jpg
APEA - Associação Portuguesa de Emprego Apoiado,"Generalização do modelo de Emprego,  incrementando o  acesso ao mercado aberto de trabalho de pessoas em situação de desvantagem.",506738477,"CP5063, Rua 19, nº 13 – Quimiparque 2831-904 Barreiro",212064934,apea.secretariado@gmail.com,http://www.empregoapoiadopt.wordpress.com,https://ong.pt/dir/images/sobipro/entries/882/img_APEA - Associação Portuguesa de Emprego Apoiado.jpg
Associação Indiveri Colucci,"Prosseguir fins científicos, culturais e assistenciais, e promover a saúde, através da prestação de cuidados preventivos, curativos e de reabilitação.",502046481,"RUA LINO DE ASSUNÇÃO, 6 2770-109 PAÇO DE ARCOS",214468698,geral@colucci.pt,http://www.colucci.pt,https://ong.pt/dir/images/sobipro/entries/878/img_Associação Indiveri Colucci.jpg
Associação de Apoio Social Nossa Senhora de Assunção,"A Missão da AISA é a prestação de serviços à comunidade na área do envelhecimento, dependência e infância e juventude.",502369345,"Rua de Cascais  Malveira Da Serra, Lisboa",214857700,geral@aisa.com.pt,http://www.facebook.com/AISA.IPSS,https://ong.pt/dir/images/sobipro/entries/870/img_Associação de Apoio Social Nossa Senhora de Assunção.jpg
Casa Índigo,"Estudo, esclarecimento e desenvolvimento de actividades de apoio a crianças e jovens de todo o tipo e características.",510155243,"Praceta Dom João I, 112-A, Caparide São Domingos de Rana, 2785-379",214420197,indigo@casa-indigo.com,http://www.casa-indigo.com,https://ong.pt/dir/images/sobipro/entries/868/img_casa indigo.jpg
Dignitas Vitae - Dignidade à Diferença,"Conceção, execução e apoio a programas e projetos de cooperação para a implementação e/ou desenvolvimento da Educação Especial no mundo.",510715800,"Estrada de Talaíde, 70I 2740-169 Porto Salvo Oeiras",912462726,info@dignitasvitae.org,http://www.dignitasvitae.org,https://ong.pt/dir/images/sobipro/entries/864/img_Dignitas Vitae.jpg
Dignitas Vitae - Dignidade à Diferença,"Conceção, execução e apoio a programas e projetos de cooperação para a implementação e/ou desenvolvimento da Educação Especial no mundo.",510715800,"Estrada de Talaíde, 70I 2740-169 Porto Salvo Oeiras",912462726,info@dignitasvitae.org,http://www.dignitasvitae.org,https://ong.pt/dir/images/sobipro/entries/864/img_Dignitas Vitae.jpg
Associação Olmo,Promover novos e eficientes modos de ajuda humanitária e cooperação para o desenvolvimento.,510488382,"Rua José da Costa Pedreira Lote 1, 9º D 1750-130 Lisboa",,info@olmo.pt,http://www.olmo.pt,https://ong.pt/dir/images/sobipro/entries/861/img_Associação Olmo.png
Associação Amma Portugal,"Uma vasta rede de actividades humanitárias, inspiradas pelo seu incansável espírito de dedicação para elevar os demais.",509157416,"RUA NINA MARQUES PEREIRA, 13 5ºESQ. 1500-468 LISBOA",,ammaportugal@gmail.com,http://www.ammaportugal.org,https://ong.pt/dir/images/sobipro/entries/860/img_Associação Amma Portugal.jpg
Associação Viva há Vida,"Promover o respeito pela vida humana, desde o momento da concepção até à morte natural.",507570715,"PRACETA 1. DE MAIO, 12 R/C ESQ. POSTERIOR 2860-425 MOITA",918251641,vivahavida@gmail.com,http://www.vivahavida.pt,https://ong.pt/dir/images/sobipro/entries/859/img_Associação Viva há  Vida.jpg
Associação Medinterna,"Promover, em geral, a qualificação dos profissionais de Medicina Interna e participar activamente no ensino de Pós-graduação.",505857278,Alameda Prof. Hernâni Monteiro Serviço de Medicina Interna Unidade M4 — Piso 3 4202 – 451 PORTO,916968958,info@medinterna.org,http://www.medinterna.org,https://ong.pt/dir/images/sobipro/entries/858/img_Associação Medinterna.png
Associação Portuguesa dos Veteranos de Guerra,"Contribuir para a protecção e apoio dos seus associados, ex-combatentes veteranos de guerra e ex-militares.",504330330,"Campo das Carvalheiras, 54  4700-419 BRAGA",253260932,info@apvg.pt,http://www.apvg.pt/index.php,https://ong.pt/dir/images/sobipro/entries/839/img_Associação Portuguesa dos Veteranos de Guerra.gif
A.A.P.M. - Associação De Amigos Do Reverendo Padre José Dos Santos Ferreira De Moura,"Promover, defender e enaltecer por quaisquer meios legalmente permitidos, os valores básicos da dignidade humana e social.",503529222,"Rua São Vicente de Paulo, 218, 4435-807 Baguim do Monte",229759514,geral.aapm@gmail.com,http://www.aapm.pt,https://ong.pt/dir/images/sobipro/entries/834/img_A.A.P.M. - Associação De Amigos Do Reverendo Padre José Dos Santos Ferreira De Moura.jpg
HELPSOL - Associação de Cooperação e Desenvolvimento,"Contribuir para a melhoria das condições de vida do Ser Humano, em todas as suas dimensões, e numa ótica de respeito e promoção pelo que é consagrado.",510779085,"Rua Marechal Teixeira Rebelo, 33 - 5000-525 Vila Real",926465090,helpsol@outlook.com,http://www.facebook.com/onghelpsol/timeline,https://ong.pt/dir/images/sobipro/entries/833/img_HELPSOL - Associação de Cooperação e Desenvolvimento.jpg
Associação Portugal - Moçambique,Promover as relações e a cooperação entre Portugal e Moçambique.,504291319,"Largo Duque da Ribeira, 32-54 4050 Porto",222037876,espacomocambique@sapo.pt,http://www.espacomocambique.com,https://ong.pt/dir/images/sobipro/entries/828/img_Associação Portugal - Moçambique.jpg
Associação Portugal - Moçambique,Promover as relações e a cooperação entre Portugal e Moçambique.,504291319,"Largo Duque da Ribeira, 32-54 4050 Porto",222037876,espacomocambique@sapo.pt,http://www.espacomocambique.com,https://ong.pt/dir/images/sobipro/entries/828/img_Associação Portugal - Moçambique.jpg
Associação Portuguesa de Apoio Mãe Solteira,"Ajudar mães, crianças e desfavorecidos em geral, com medicamentos, roupa, alimentação, educação, formação profissional e reintegração na vida social.",509546358,Rua Fonseca Cardoso nº 39 S/L—4000-233 Porto,222022098,info@apams.pt,http://www.apams.pt,https://ong.pt/dir/images/sobipro/entries/823/img_Associação Portuguesa de Apoio Mãe Solteira.jpg
Congregação das Irmãs Dominicanas de Santa Catarina de Sena,Vivem e expressam a misericórdia e a compaixão para com a humanidade em gestos de solidariedade e na educação.,501483403,"Largo de São Domingos de Benfica, 14 1500-554 Lisboa",217720020,dominicanas.scs@gmail.com,http://www.dominicanas-scs.pt,https://ong.pt/dir/images/sobipro/entries/820/img_Congregação das Irmãs Dominicanas de Santa Catarina de Sena.png
Associação Juvemédia,Principal actividade encontra-se direccionada para a Juventude.,502137690,"Rua Gomes Freire, nº 183 — 3º Esquerdo 1150-177 Lisboa",213542711,info@juvemedia.pt,http://www.juvemedia.pt,https://ong.pt/dir/images/sobipro/entries/815/img_Associação Juvemédia.jpg
Associação Portuguesa de Direito Intelectual,"Estudo, ensino e divulgação do Direito Intelectual.",503873292,"Campo Grande, 28 - 9º C 1700-093 LISBOA",217974013,apdi@apdi.pt,http://www.apdi.pt,https://ong.pt/dir/images/sobipro/entries/813/img_Associação Portuguesa de Direito Intelectual.jpg
Associação Portuguesa de Mulheres Juristas,Contribuir para o estudo crítico do Direito sob a perspectiva da promoção e defesa dos Direitos Humanos das Mulheres.,502066415,"Rua Manuel Marques, nº 21-P  1750-170 Lisboa",217594499,apmjsede@apmj.pt,http://www.apmj.pt,https://ong.pt/dir/images/sobipro/entries/812/img_Associação Portuguesa de Mulheres Juristas.jpg
CAVITOP - Centro de Apoio a Vítimas de Tortura,"Apoiar as Vítimas de Tortura, ideológica ou política, prestando apoio directo nas áreas da Psiquiatria, Psicologia, aconselhamento jurídico, etc.",506147193,"Rua da Artilharia 1, Nº 48, 3º Dto 1700-013 Lisboa",213867082,geral@cavitop.org,http://www.cavitop.org,https://ong.pt/dir/images/sobipro/entries/811/img_CAVITOP - Centro de Apoio a Vítimas de Tortura.gif
Fundação Vox Populi,Aprofundar e divulgar de modo significativo o conhecimento para o desenvolvimento social e económico português.,508335213,"Rua Professor Dias Amado, nº 20 1600-613 LISBOA",217577932,geral@fvp.pt,http://www.fvp.pt,https://ong.pt/dir/images/sobipro/entries/805/img_Fundação Vox Populi.gif
Associação Sons da Lusofonia,Promove intervenções abrangentes que aliam a intervenção social e a educação global à música e à interacção entre comunidades pessoas e artes.,503579149,Rua da Rosa nº145 1200-383 Lisboa,213463244,geral@sonsdalusofonia.com,http://www.sonsdalusofonia.com,https://ong.pt/dir/images/sobipro/entries/804/img_Associação Sons da Lusofonia.jpg
Associação Sons da Lusofonia,Promove intervenções abrangentes que aliam a intervenção social e a educação global à música e à interacção entre comunidades pessoas e artes.,503579149,Rua da Rosa nº145 1200-383 Lisboa,213463244,geral@sonsdalusofonia.com,http://www.sonsdalusofonia.com,https://ong.pt/dir/images/sobipro/entries/804/img_Associação Sons da Lusofonia.jpg
Associação Humana,Focar-se numa série de elementos centrais de qualquer nação no entendimento da sua vida cultural.,505178281,"Urbanização do Passil Rua B, nº 104, Armazém A 2890-171 Alcochete",212801587,info@humana-portugal.org,http://www.humana-portugal.org,https://ong.pt/dir/images/sobipro/entries/803/img_Associação Humana.jpg
Associação de Socorros Mútuos dos Empregados no Comércio e Indústria,Legalizar os fundamentos de um organismo para a defesa da classe comercial nos propósitos mais generosos.,500032424,"Rua da Palma, nº. 237 1100-391 Lisboa",218843120,asmeci@asmeci.org,http://www.asmeci.org,https://ong.pt/dir/images/sobipro/entries/796/img_Associação de Socorros Mútuos dos Empregados no Comércio e Indústria.jpg
Associação Cristã de Acolhimento Milénio,Combate a Pobreza e Exclusão Social.,507456335,Rua 5 de Outubro n1 r/c,272323201,accaosocialacam@gmail.com,http://www.acam-milenio.org,https://ong.pt/dir/images/sobipro/entries/792/img_Associação Cristã de Acolhimento Milénio.jpg
Associação Todos Pelos Outros,Um mundo mais justo e melhor!,510076505,"RUA DOM DUARTE NUNO, 50 3025-582 ZOUPARRIA DO CAMPO",917985452,todospelosoutros@gmail.com,http://www.todospelosoutros.pt,https://ong.pt/dir/images/sobipro/entries/791/img_Associação Todos Pelos Outros.jpg
Associação Viver Não Custa,Proporcionar às pessoas mais carenciadas uma refeição de Qualidade e Valor Nutricional suficientemente adequadas as suas necessidades.,510341110,Largo Alferes Francisco   Duarte 12 – C 1170 - 008 Lisboa,,associacaovivernaocusta@gmail.com,http://www.facebook.com/ASSVNC,https://ong.pt/dir/images/sobipro/entries/764/img_Associação Viver Não Custa.png
Associação Conversa Amiga,"Levar conversa e companhia a quem se sente só, excluído, a quem a solidão seja uma constante na sua vida diária.",508047897,"Alto do Pina, Lisboa",911867322,geral@conversa.pt,http://www.conversa.pt,https://ong.pt/dir/images/sobipro/entries/758/img_Associação Conversa Amiga.png
Projecto Alkantara,Procurar respostas que possibilitem o apoio a indivíduos fragilizados excluídos ou em vias de exclusão.,504479024,Bairro do Cabrinha Loja 2/A e 4/A 1300-906 Lisboa,216006511,presidente@projectoalkantara.org,http://www.projectoalkantara.org,https://ong.pt/dir/images/sobipro/entries/754/img_Projecto Alkantara.jpg
Assistência Médica Internacional Lisboa,"Intervir rapidamente em situações de crise e emergência e a combater o subdesenvolvimento, a fome, a pobreza e a exclusão social.",501501240,"R. José do Patrocínio, 49 1959-003 Lisboa",218362100,fundacao.ami@ami.org.pt,http://www.ami.org.pt,https://ong.pt/dir/images/sobipro/entries/729/img_Assistência Médica Internacional Lisboa.jpeg
Assistência Médica Internacional Lisboa,"Intervir rapidamente em situações de crise e emergência e a combater o subdesenvolvimento, a fome, a pobreza e a exclusão social.",501501240,"R. José do Patrocínio, 49 1959-003 Lisboa",218362100,fundacao.ami@ami.org.pt,http://www.ami.org.pt,https://ong.pt/dir/images/sobipro/entries/729/img_Assistência Médica Internacional Lisboa.jpeg
Fundação Afid Diferença,"Promover a autonomia e o apoio social, saúde, educação e formação de forma Sustentada, combater a exclusão, proteger os clientes, o património da Fund",507367111,"Rua Quinta do Paraíso, Alto Moinho, 2610-316 Amadora, PORTUGAL",214724040,fundacao@fund-afid.org.pt,http://www.fund-afid.org.pt,https://ong.pt/dir/images/sobipro/entries/728/img_Fundação Afid Diferença.jpg
"Centro de Apoio à Infância e à Juventude, O Vigilante","prestação de cuidados de medicina curativa, preventiva e de reabilitação, protecção e apoio à infância.",501972439,"Rua 5 de Outubro, Nº 7 B 2700-197 AMADORA",214989900,geral@ovigilante.pt,http://www.ovigilante.pt,"https://ong.pt/dir/images/sobipro/entries/700/img_Centro de Apoio à Infância e à Juventude, O Vigilante.png"
Casa de Protecção e Amparo de Santo António,Apoiar a causa da maternidade desprotegida.,501250972,"Calçada das Necessidades nº 2, 1350-214 Lisboa",213955241,geral@casasantoantonio.org.pt,http://www.casasantoantonio.org.pt,https://ong.pt/dir/images/sobipro/entries/693/img_Casa de Protecção e Amparo de Santo António.jpg
Cáritas Diocesana de Lisboa,"Doutrina Social da Igreja bem como todas as orientações definidas pelo Plano Pastoral Diocesano, assim como imperativos de solidariedade.",500910227,"Av. Sidónio Pais, n.º 20 – 5.º Dt.º, 1050 – 215 Lisboa",213573386,geral@caritaslisboa.pt,http://www.caritas.pt/site/lisboa,https://ong.pt/dir/images/sobipro/entries/691/img_Cáritas Diocesana de Lisboa.jpg
Associação Solidariedade sem Fronteiras,"Recolher bens para equipar a biblioteca da escola Domingues Sávio, bem como, providenciar, o envio de roupa.",509095836,Antigas Escolas 6090 - Aldeia de João Pires,968874115,solidariedadesf@gmail.com,http://www.solidariedadesemfronteiras.org,https://ong.pt/dir/images/sobipro/entries/679/img_Associação Solidariedade sem Fronteiras.png
Associação Solidariedade Social dos Professores,"Prestação de serviços de natureza social, humanitária e cultural aos seus associados e familiares.",501406336,"Largo do Monte, 1 - 1170-253 LISBOA",218155466,info@assp.pt,http://www.assp.pt,https://ong.pt/dir/images/sobipro/entries/678/img_Associação Solidariedade Social dos Professores.gif
Associação Projecto REKLUSA,"Ação social com a população reclusa, baseando a nossa intervenção no respeito pela condição de todos os que apoiamos.",509429912,Rua das Amoreiras Nº69/71  1250-111 Lisboa,213629037,reklusa.social@gmail.com,http://www.reklusa.com,https://ong.pt/dir/images/sobipro/entries/671/img_Associação Projecto REKLUSA.jpg
Associação Portuguesa De Famílias Numerosas,"Defesa dos legítimos interesses das famílias numerosas, designadamente em matéria fiscal, de habitação, saúde e educação.",504359851,"RUA JOSÉ CALHEIROS, 15 1400-229 Lisboa",217552603,apfn@apfn.com.pt,http://www.apfn.com.pt,https://ong.pt/dir/images/sobipro/entries/637/img_Associação Portuguesa De Famílias Numerosas.jpg
Associação Portuguesa De Famílias Numerosas,"Defesa dos legítimos interesses das famílias numerosas, designadamente em matéria fiscal, de habitação, saúde e educação.",504359851,"RUA JOSÉ CALHEIROS, 15 1400-229 Lisboa",217552603,apfn@apfn.com.pt,http://www.apfn.com.pt,https://ong.pt/dir/images/sobipro/entries/637/img_Associação Portuguesa De Famílias Numerosas.jpg
Associação Afectos Com Letras,"Conceção, promoção, execução e apoio a programas, projetos e ações de cariz social, cultural, ambiental, cívico, educacional e económico.",509301878,"Rua Eng Guilherme Santos, nº 2 Escoural, 3100-336 Pombal",918786792,afectoscomletras@gmail.com,http://www.afectoscomletras.blogspot.pt,https://ong.pt/dir/images/sobipro/entries/625/img_Associação Afectos Com Letras.png
Associação ´Karingana Wa Karingana´,"Promover acções de apoio, solidariedade, cooperação e desenvolvimento junto dos povos, comunidades e países de expressão lusófona.",509621945,Av. Mouzinho Albuquerque 11 – 2º Esq 1170-257  LISBOA,919052986,associacao@karinganawakaringana.org,http://www.karinganawakaringana.org,https://ong.pt/dir/images/sobipro/entries/624/img_Associação ´Karingana Wa Karingana´.jpg
Alkajuda,"Promoção da integração social e comunitária, da saúde, do apoio à família, do desenvolvimento de competências pessoais, interpessoais e sociais.",510285945,"Rua da Cascalheira, n.º 9, Alcântara 1300-121 Lisboa",966817266,alkajuda@gmail.com,http://www.alkajudaassociacao.wix.com,https://ong.pt/dir/images/sobipro/entries/618/img_Alkajuda.png
ABLA - Associação Beneficência Luso-Alemã,"Servir a comunidade envolvente na área educacional, social e cívica e prestar ajuda humanitária, com empenho, excelência e amor ao próximo.",501428925,"Praceta Infante Dom Henrique, 80 Quinta do Junqueiro 2775-584 Carcavelos",214549000,geral@abla.org,http://www.abla.org,https://ong.pt/dir/images/sobipro/entries/614/img_ABLA - Associação Beneficência Luso-Alemã.jpg
Somos Nós - Associação para a Autonomia Integração de Jovens Deficientes,"Natureza associativa, criada por iniciativa de pais e amigos de jovens adultos 'menos eficientes'.",507925394,"Rua Bartolomeu Velho, 501 4150-124 Porto",966419450,somosnos@somosnos.net,http://www.somosnos.net,https://ong.pt/dir/images/sobipro/entries/595/img_Somos Nós - Associação para a Autonomia Integração de Jovens Deficientes.jpg
MSV - Movimento ao Serviço da Vida,Desenvolvimento de  acções de apoio a camadas de população mais carenciadas e sensibilização e  mobilização de camadas sociais para problemas sociais.,504287311,"Rua da Assunção, 7 – 4º 1100-042 Lisboa",213223430,ttavares@msv.pt,http://www.msv.pt,https://ong.pt/dir/images/sobipro/entries/437/img_MSV.jpg
MDV - Movimento de Defesa da Vida,"Promover a dignidade da pessoa humana em todas as suas dimensões, bem como na defesa e promoção da unidade familiar.",500929041,"Rua da Beneficência, nº7 1050 - 034 Lisboa",217994530,geral@mdvida.pt,http://www.mdvida.pt,https://ong.pt/dir/images/sobipro/entries/435/img_MDV.jpg
Liga Portuguesa Profilaxia Social,"Desenvolvimento social da Saúde, Ambiente e Cultura. Vocação especial para a organização e prestação de serviços de promoção e proteção da saúde.",501136576,"Rua Sta. Catarina, 108 - 1º/ 2º Andar 4000-442 Porto",223324445,prosaude@lpps.pt,http://www.lpps.pt,https://ong.pt/dir/images/sobipro/entries/431/img_LPPS.jpg
Liga Portuguesa Profilaxia Social,"Desenvolvimento social da Saúde, Ambiente e Cultura. Vocação especial para a organização e prestação de serviços de promoção e proteção da saúde.",501136576,"Rua Sta. Catarina, 108 - 1º/ 2º Andar 4000-442 Porto",223324445,prosaude@lpps.pt,http://www.lpps.pt,https://ong.pt/dir/images/sobipro/entries/431/img_LPPS.jpg
Associação Betel,"O acolhimento e cuidados em regime residencial de acesso imediato e totalmente gratuito, a diversos grupos em risco de exclusão social.",503694525,"Rua Antero de Quental, nº 240, 4050-051 Porto",225502832,beteloporto@hotmail.com,http://www.betelportugal.org,https://ong.pt/dir/images/sobipro/entries/420/img_Associação Betel.jpg
ADAV - Associação de Defesa e Apoio da Vida - Coimbra,"Apoio à família, assim como a defesa e a promoção da vida humana e da dignidade da mulher.",504348914,"Rua Lourenço Almeida Azevedo n.º 27, r./c.  3000-250 COIMBRA",239820000,adavcoimbra@gmail.com,http://www.adav.coimbradigital.net,https://ong.pt/dir/images/sobipro/entries/380/img_ADAV.jpg
A Beneficente - Póvoa de Varzim,"Desenvolver e implementar respostas sociais para a população poveira, no sentido de se diluírem os problemas sociais.",501406271,"Rua Fernando Barbosa, 87, 4490-635 Póvoa de Varzim",252690730,geral@abeneficente.pt,http://www.abeneficente.pt,https://ong.pt/dir/images/sobipro/entries/370/img_a beneficente - póvoa de varzim.jpg
AMCV - Associação de Mulheres Contra a Violência,"Promoção dos Direitos Humanos, ao nível dos Direitos das Mulheres, Jovens e Crianças, e o combate a todas as formas de Violência e Discriminação.",503226408,"Rua João Villaret, nº9  1000 -182 Lisboa",213802160,sede@amcv.org.pt,http://www.amcv.org.pt,https://ong.pt/dir/images/sobipro/entries/353/img_amcv.png
Santa Casa da Misericórdia de Mora,"Cuidados de saúde e apoio social à população, a diferentes níveis.",500848599,Rua São João de Deus 7490 MORA,266439030,geral@scmmora.pt,http://www.scm-mora.org.pt,https://ong.pt/dir/images/sobipro/entries/348/img_SCMM.jpg
Memórias e Gentes - Associação Humanitária,Prestar ajuda humanitária e promover o desenvolvimento.,508343461,"Rua Prof. Guilherme Tomé, Apartado 45 , 3046-801 , Coimbra",961979796,memoegentes@gmail.com,http://www.memoriasegentes.org,https://ong.pt/dir/images/sobipro/entries/336/img_memórias e gentes.jpg
